matrices built 88
GEN rank 429 leftker 590
DET rank 418 leftker 601
PAD rank 243 leftker 776
RED rank 410 leftker 609
i_fam (= 429 - rank): {'GEN': 0, 'DET': 11, 'PAD': 186, 'RED': 19}
dim(K_DET + K_PAD)=785  dim(K_DET cap K_PAD)=592  -> dim(I_DET cap I_PAD)=2
dim(K_DET + K_RED)=620  dim(K_DET cap K_RED)=590  -> dim(I_DET cap I_RED)=0
dim(K_PAD + K_RED)=776  dim(K_PAD cap K_RED)=609  -> dim(I_PAD cap I_RED)=19
K_RED subset K_PAD ? True (span 776 vs 776 )

multideg  #br  GEN  DET  PAD  RED
(0, 1, 8)      1    1    1    1    1
(0, 5, 5)      5    3    3    3    3
(0, 9, 2)      9    4    4    4    4
(1, 3, 6)      8    5    5    5    5
(1, 7, 3)     21   10   10   10   10
(1, 11, 0)     5    2    2    2    2
(2, 1, 7)      8    5    5    5    5
(2, 5, 4)     29   15   15   15   15
(2, 9, 1)     27   10   10   10   10
(3, 3, 5)     30   16   16   16   16
(3, 7, 2)     55   24   24   24   24
(4, 1, 6)     21   10   10   10   10
(4, 5, 3)     64   30   30   30   30
(4, 9, 0)     19    8    8    8    8
(5, 3, 4)     64   30   30   30   30
(5, 7, 1)     49   20   20   20   20
(6, 1, 5)     35   15   15   15   15
(6, 5, 2)     84   35   35   35   35
(7, 3, 3)     96   39   39   39   39
(7, 7, 0)     25   11   11   11   11
(8, 1, 4)     48   19   19   19   19
(8, 5, 1)     62   24   24   24   24
(9, 3, 2)     83   30   30   30   30
(10, 1, 3)    42   15   15   15   15
(10, 5, 0)    25   10   10   10   10
(11, 3, 1)    42   15   15   15   15
(12, 1, 2)    28   10   10   10   10
(13, 3, 0)    15    6    6    6    6
(14, 1, 1)    14    5    5    5    5
(16, 1, 0)     5    2    2    2    2
sum of graded ranks: {'GEN': 429, 'DET': 429, 'PAD': 429, 'RED': 429}
