degree,partition,length,rung13,rung14,lmr,witness_ids,conditional_i_pad_floor,certified_i_pad_floor,certified_i_det_upper,exclusion_status,B_predecessor,B_exact_inherited_increment,B_birth_upper,B_bound_kind
25,"(68, 17, 2, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(64, 17, 2, 2, 2, 2, 2, 2, 2, 1)",,2451037609127250,coarse exact monomial upper bound
25,"(67, 18, 2, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(63, 18, 2, 2, 2, 2, 2, 2, 2, 1)",,21601034467444575,coarse exact monomial upper bound
25,"(67, 17, 3, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(63, 17, 3, 2, 2, 2, 2, 2, 2, 1)",,21601034467444575,coarse exact monomial upper bound
25,"(67, 17, 2, 2, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(63, 17, 2, 2, 2, 2, 2, 2, 2, 2)",,21601034467444575,coarse exact monomial upper bound
25,"(66, 19, 2, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 19, 2, 2, 2, 2, 2, 2, 2, 1)",,177857017901474175,coarse exact monomial upper bound
25,"(66, 18, 3, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 18, 3, 2, 2, 2, 2, 2, 2, 1)",,177857017901474175,coarse exact monomial upper bound
25,"(66, 18, 2, 2, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(62, 18, 2, 2, 2, 2, 2, 2, 2, 2)",,177857017901474175,coarse exact monomial upper bound
25,"(66, 17, 4, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 17, 4, 2, 2, 2, 2, 2, 2, 1)",,177857017901474175,coarse exact monomial upper bound
25,"(66, 17, 3, 2, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(62, 17, 3, 2, 2, 2, 2, 2, 2, 2)",,177857017901474175,coarse exact monomial upper bound
25,"(65, 20, 2, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(61, 20, 2, 2, 2, 2, 2, 2, 2, 1)",,1378562539196430720,coarse exact monomial upper bound
25,"(65, 19, 3, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(61, 19, 3, 2, 2, 2, 2, 2, 2, 1)",,1378562539196430720,coarse exact monomial upper bound
25,"(65, 19, 2, 2, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(61, 19, 2, 2, 2, 2, 2, 2, 2, 2)",,1378562539196430720,coarse exact monomial upper bound
25,"(65, 18, 4, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(61, 18, 4, 2, 2, 2, 2, 2, 2, 1)",,1378562539196430720,coarse exact monomial upper bound
25,"(65, 18, 3, 2, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(61, 18, 3, 2, 2, 2, 2, 2, 2, 2)",,1378562539196430720,coarse exact monomial upper bound
