{'name': 'ray1 k=3, 65-ring', 'k': 3, 'w': [4, 2, 2, 2, 2], 'ring': 65, 'dim_H': 105, 'n_points': 121, 'rank_mod_p': 105, 'status': 'ker Q_D on H = 0 (COMPUTED)', 'wall_s': 0.04}
{'name': 'ray1 k=3, 70-ring', 'k': 3, 'w': [4, 2, 2, 2, 2], 'ring': 70, 'dim_H': 147, 'n_points': 163, 'rank_mod_p': 147, 'status': 'ker Q_D on H = 0 (COMPUTED)', 'wall_s': 0.07}
{'name': 'ray1 k=4, 65-ring', 'k': 4, 'w': [8, 2, 2, 2, 2], 'ring': 65, 'dim_H': 284, 'n_points': 300, 'rank_mod_p': 284, 'status': 'ker Q_D on H = 0 (COMPUTED)', 'wall_s': 0.37}
{'name': 'ray1 k=4, 70-ring', 'k': 4, 'w': [8, 2, 2, 2, 2], 'ring': 70, 'dim_H': 390, 'n_points': 406, 'rank_mod_p': 390, 'status': 'ker Q_D on H = 0 (COMPUTED)', 'wall_s': 0.97}
{'name': 'ray1 k=5, 65-ring', 'k': 5, 'w': [12, 2, 2, 2, 2], 'ring': 65, 'dim_H': 418, 'n_points': 434, 'rank_mod_p': 418, 'status': 'ker Q_D on H = 0 (COMPUTED)', 'wall_s': 1.13}
{'name': 'ray1 k=5, 70-ring', 'k': 5, 'w': [12, 2, 2, 2, 2], 'ring': 70, 'dim_H': 553, 'n_points': 569, 'rank_mod_p': 553, 'status': 'ker Q_D on H = 0 (COMPUTED)', 'wall_s': 2.45}
{'name': 'ray1 k=6, 65-ring', 'k': 6, 'w': [16, 2, 2, 2, 2], 'ring': 65, 'dim_H': 469, 'n_points': 485, 'rank_mod_p': 469, 'status': 'ker Q_D on H = 0 (COMPUTED)', 'wall_s': 1.6}
{'name': 'ray1 k=6, 70-ring', 'k': 6, 'w': [16, 2, 2, 2, 2], 'ring': 70, 'dim_H': 608, 'n_points': 624, 'rank_mod_p': 608, 'status': 'ker Q_D on H = 0 (COMPUTED)', 'wall_s': 3.32}
{'name': 'ray1 k=7, 65-ring', 'k': 7, 'w': [20, 2, 2, 2, 2], 'ring': 65, 'dim_H': 479, 'n_points': 495, 'rank_mod_p': 479, 'status': 'ker Q_D on H = 0 (COMPUTED)', 'wall_s': 1.74}
{'name': 'ray1 k=7, 70-ring', 'k': 7, 'w': [20, 2, 2, 2, 2], 'ring': 70, 'dim_H': 618, 'n_points': 634, 'rank_mod_p': 618, 'status': 'ker Q_D on H = 0 (COMPUTED)', 'wall_s': 3.38}
{'name': 'ray2 k=9 w=(27,3,2,2,2), 65-ring', 'k': 9, 'w': [27, 3, 2, 2, 2], 'ring': 65, 'dim_H': 1019, 'n_points': 1035, 'rank_mod_p': 1019, 'status': 'ker Q_D on H = 0 (COMPUTED)', 'wall_s': 14.66}
