delta,lam,ell,a,m_det,det_units_lb
5,4|4|4|4|4,5,1,5,-4
5,12|2|2|2|2,5,1,8,-7
5,9|7|2|1|1,5,1,15,-14
5,7|7|4|1|1,5,1,19,-18
5,8|5|5|1|1,5,1,23,-22
5,8|7|3|1|1,5,1,23,-22
5,7|4|4|4|1,5,1,25,-24
5,11|4|2|2|1,5,1,25,-24
5,10|5|3|1|1,5,1,32,-31
5,6|4|4|4|2,5,1,34,-33
5,9|5|4|1|1,5,1,35,-34
5,10|4|2|2|2,5,1,35,-34
5,10|5|2|2|1,5,1,36,-35
5,9|6|2|2|1,5,1,39,-38
5,8|6|2|2|2,5,1,44,-43
5,9|4|4|2|1,5,1,51,-50
5,6|6|4|2|2,5,1,52,-51
5,8|4|4|2|2,5,1,66,-65
5,7|6|4|2|1,5,1,75,-74
5,8|6|3|2|1,5,1,77,-76
5,9|5|3|2|1,5,1,77,-76
5,7|5|4|3|1,5,1,80,-79
5,8|5|4|2|1,5,1,89,-88
6,16|2|2|2|2,5,1,8,-7
6,15|3|2|2|2,5,1,15,-14
6,11|9|2|1|1,5,1,22,-21
6,12|8|2|1|1,5,1,24,-23
6,15|4|2|2|1,5,1,28,-27
6,8|7|7|1|1,5,2,30,-28
6,13|7|2|1|1,5,1,29,-28
6,10|9|3|1|1,5,1,43,-42
6,14|5|3|1|1,5,1,43,-42
6,14|4|2|2|2,5,2,45,-43
6,10|9|2|2|1,5,2,46,-44
6,9|9|4|1|1,5,2,49,-47
6,14|5|2|2|1,5,2,50,-48
6,12|5|5|1|1,5,2,59,-57
6,13|5|4|1|1,5,2,63,-61
6,13|6|3|1|1,5,1,62,-61
6,8|4|4|4|4,5,2,65,-63
6,13|5|2|2|2,5,2,65,-63
6,14|4|3|2|1,5,1,65,-64
6,11|8|3|1|1,5,2,69,-67
6,6|6|4|4|4,5,1,70,-69
6,13|6|2|2|1,5,3,74,-71
6,9|9|3|2|1,5,1,74,-73
6,11|8|2|2|1,5,3,77,-74
6,12|7|3|1|1,5,3,78,-75
6,12|7|2|2|1,5,3,84,-81
6,13|4|4|2|1,5,2,87,-85
6,13|4|3|2|2,5,1,87,-86
6,9|7|6|1|1,5,2,89,-87
6,11|4|4|4|1,5,2,89,-87
6,9|8|5|1|1,5,2,92,-90
6,10|8|2|2|2,5,3,97,-94
6,10|8|4|1|1,5,2,96,-94
6,11|7|2|2|2,5,2,97,-95
6,12|6|4|1|1,5,2,97,-95
6,12|6|2|2|2,5,4,110,-106
6,11|6|5|1|1,5,2,110,-108
6,12|4|4|3|1,5,1,114,-113
6,6|6|6|4|2,5,1,116,-115
6,11|7|4|1|1,5,4,129,-125
6,9|4|4|4|3,5,1,127,-126
6,13|5|3|2|1,5,3,137,-134
6,10|7|5|1|1,5,4,139,-135
6,12|4|4|2|2,5,3,143,-140
6,7|7|6|3|1,5,1,144,-143
6,7|6|6|4|1,5,1,146,-145
6,12|5|3|3|1,5,1,149,-148
6,9|8|3|3|1,5,1,160,-159
6,8|8|5|2|1,5,2,166,-164
6,12|5|3|2|2,5,1,172,-171
6,11|5|5|2|1,5,2,177,-175
6,7|7|5|4|1,5,1,177,-176
6,10|4|4|4|2,5,3,180,-177
6,9|8|3|2|2,5,2,187,-185
6,9|6|6|2|1,5,2,197,-195
6,10|8|3|2|1,5,4,200,-196
6,8|7|6|2|1,5,2,198,-196
6,7|7|4|3|3,5,1,197,-196
6,8|8|4|3|1,5,1,199,-198
6,11|4|4|3|2,5,1,207,-206
6,12|6|3|2|1,5,4,213,-209
6,8|8|4|2|2,5,3,214,-211
6,9|5|5|4|1,5,1,221,-220
6,8|6|6|2|2,5,3,226,-223
6,12|5|4|2|1,5,5,229,-224
6,11|6|3|3|1,5,1,226,-225
6,8|6|6|3|1,5,1,232,-231
6,7|6|6|3|2,5,1,233,-232
6,10|5|4|4|1,5,3,237,-234
6,11|7|3|2|1,5,5,244,-239
6,10|7|3|3|1,5,2,246,-244
6,8|7|4|4|1,5,2,258,-256
6,8|5|5|3|3,5,1,264,-263
6,9|8|4|2|1,5,5,272,-267
6,7|6|4|4|3,5,1,268,-267
6,11|6|3|2|2,5,3,274,-271
6,10|5|5|3|1,5,2,277,-275
6,10|7|3|2|2,5,2,278,-276
6,8|5|4|4|3,5,1,280,-279
6,11|5|4|2|2,5,3,301,-298
6,7|7|5|3|2,5,1,310,-309
6,8|7|5|2|2,5,1,319,-318
6,11|5|4|3|1,5,4,328,-324
6,9|7|3|3|2,5,1,326,-325
6,9|6|4|4|1,5,4,348,-344
6,10|6|5|2|1,5,5,368,-363
6,8|6|5|4|1,5,2,368,-366
6,11|6|4|2|1,5,7,375,-368
6,9|7|5|2|1,5,5,376,-371
6,9|5|4|4|2,5,2,380,-378
6,7|6|5|4|2,5,1,398,-397
6,10|7|4|2|1,5,7,406,-399
6,9|5|5|3|2,5,1,400,-399
6,8|7|5|3|1,5,4,415,-411
