delta,lam,a,m_det,NS_capped
8,24|2|2|2|2,1,8,619
8,23|4|2|2|1,1,28,900
8,22|5|3|1|1,1,45,1179
8,21|7|2|1|1,1,38,1192
8,23|3|2|2|2,1,15,1349
8,22|5|2|2|1,2,53,1527
8,20|8|2|1|1,1,45,1623
8,21|6|3|1|1,1,75,1849
8,22|4|3|2|1,1,66,2014
8,19|9|2|1|1,2,59,2087
8,21|5|4|1|1,2,69,2285
8,21|6|2|2|1,4,91,2403
8,18|10|2|1|1,2,57,2558
8,22|4|2|2|2,3,47,2625
8,20|7|3|1|1,4,121,2688
8,17|11|2|1|1,3,62,2980
8,16|12|2|1|1,2,45,3331
8,21|5|3|2|1,4,155,3475
8,20|7|2|2|1,6,134,3505
8,15|13|2|1|1,2,37,3553
8,20|6|4|1|1,3,137,3611
8,19|8|3|1|1,5,162,3673
8,20|5|5|1|1,3,79,3946
8,21|4|4|2|1,3,95,3950
8,21|5|2|2|2,4,77,4538
8,18|9|3|1|1,7,200,4730
8,19|8|2|2|1,9,181,4803
8,19|7|4|1|1,9,256,5265
8,20|6|3|2|1,8,299,5531
8,17|10|3|1|1,8,211,5767
8,21|4|3|2|2,2,93,6044
8,18|9|2|2|1,11,214,6198
8,19|6|5|1|1,5,207,6250
8,16|11|3|1|1,9,201,6675
8,20|5|4|2|1,9,301,6894
8,18|8|4|1|1,11,355,7191
8,20|6|2|2|2,8,152,7256
8,15|12|3|1|1,6,155,7359
8,17|10|2|2|1,12,227,7572
8,14|13|3|1|1,4,87,7723
8,20|5|3|3|1,2,188,8111
8,19|7|3|2|1,14,482,8117
8,16|11|2|2|1,11,209,8776
8,18|7|5|1|1,14,420,9110
8,17|9|4|1|1,17,466,9203
8,20|4|4|3|1,2,140,9241
8,15|12|2|2|1,9,164,9683
8,18|6|6|1|1,2,164,9883
8,14|13|2|2|1,5,90,10167
8,20|5|3|2|2,4,220,10638
8,19|7|2|2|2,9,203,10666
8,19|6|4|2|1,19,672,11015
8,16|10|4|1|1,16,477,11130
8,18|8|3|2|1,21,679,11144
8,19|5|5|2|1,7,307,12095
8,20|4|4|2|2,6,175,12141
8,17|8|5|1|1,18,630,12360
8,15|11|4|1|1,18,456,12706
8,19|6|3|3|1,4,388,13005
8,14|12|4|1|1,9,297,13771
8,13|13|4|1|1,6,127,14133
8,17|7|6|1|1,13,483,14304
8,17|9|3|2|1,26,822,14325
8,18|8|2|2|2,14,297,14694
8,16|9|5|1|1,24,813,15684
8,18|7|4|2|1,32,1169,16177
8,19|5|4|3|1,10,530,16315
8,19|6|3|2|2,11,467,17114
8,16|10|3|2|1,28,873,17382
8,19|4|4|4|1,5,139,18630
8,15|10|5|1|1,24,847,18702
8,17|9|2|2|2,13,318,18911
8,18|7|3|3|1,10,672,19159
8,16|8|6|1|1,18,794,19226
8,18|6|5|2|1,21,969,19327
8,15|11|3|2|1,26,777,19893
8,16|7|7|1|1,13,379,20517
8,14|11|5|1|1,22,725,20993
8,19|5|4|2|2,10,491,21496
8,14|12|3|2|1,18,546,21589
8,17|8|4|2|1,46,1710,22087
8,13|13|3|2|1,6,193,22168
8,13|12|5|1|1,11,413,22246
8,16|10|2|2|2,17,362,22999
8,15|9|6|1|1,27,1080,24048
8,18|7|3|2|2,15,757,25284
8,19|5|3|3|2,1,351,25456
8,18|6|4|3|1,20,1256,26199
8,17|8|3|3|1,14,965,26219
8,15|11|2|2|2,11,283,26335
8,15|8|7|1|1,18,778,27182
8,16|9|4|2|1,55,2096,28164
8,14|10|6|1|1,23,1070,28181
8,17|7|5|2|1,40,1912,28230
8,14|12|2|2|2,11,230,28617
8,18|5|5|3|1,9,655,28877
8,19|4|4|3|2,4,306,29093
8,13|13|2|2|2,1,53,29372
8,12|8|6|4|2,109,27257,30001
8,13|9|6|3|1,94,10237,30001
8,13|8|6|3|2,91,18147,30001
8,13|8|6|4|1,91,12646,30001
8,12|9|6|3|2,88,19099,30001
8,12|9|6|4|1,88,13409,30001
8,13|8|5|4|2,88,20360,30001
8,13|9|5|3|2,85,15624,30001
8,14|9|5|3|1,85,7818,30001
8,14|8|6|3|1,83,8732,30001
8,12|9|5|4|2,80,20600,30001
8,11|9|6|4|2,78,24477,30001
8,13|9|5|4|1,78,10071,30001
8,14|8|5|3|2,78,14000,30001
8,14|8|5|4|1,76,8989,30001
8,14|9|6|2|1,76,4797,30001
8,13|10|5|3|1,75,7163,30001
8,15|8|5|3|1,74,6538,30001
8,13|7|6|4|2,73,18760,30001
8,12|9|7|3|1,71,9132,30001
8,12|10|6|3|1,71,8361,30001
8,14|8|6|2|2,70,6570,30001
8,15|9|5|2|1,70,3646,30001
8,13|10|6|2|1,69,4508,30001
8,14|10|5|2|1,69,3654,30001
8,14|8|4|4|2,66,8762,30001
8,15|8|6|2|1,66,3867,30001
8,12|8|7|4|1,65,10968,30001
8,13|8|7|3|1,65,7834,30001
8,11|8|7|4|2,64,21203,30001
8,12|10|5|3|2,63,12474,30001
8,14|7|5|4|2,63,14322,30001
8,14|7|6|3|2,63,11769,30001
8,14|9|4|3|2,63,8470,30001
8,12|8|7|3|2,62,15112,30001
8,12|10|5|4|1,62,8112,30001
8,13|9|6|2|2,62,7382,30001
8,14|7|6|4|1,62,8102,30001
8,15|9|4|3|1,62,4112,30001
8,14|9|5|2|2,61,5869,30001
8,11|8|6|4|3,60,29811,30001
8,12|10|6|2|2,60,6221,30001
8,16|8|5|2|1,60,2956,30001
8,13|9|7|2|1,59,4515,30001
8,15|8|5|2|2,59,5010,30001
8,11|8|6|5|2,58,22841,30001
8,11|9|7|4|1,58,10938,30001
8,15|8|4|3|2,58,7317,30001
8,11|9|7|3|2,57,14985,30001
8,13|10|5|2|2,57,5410,30001
8,14|10|4|2|2,57,3462,30001
8,15|7|5|3|2,57,9485,30001
8,15|7|6|3|1,57,5378,30001
8,11|10|6|3|2,56,12440,30001
8,11|10|6|4|1,56,8768,30001
8,12|8|5|4|3,56,24243,30001
8,14|10|4|3|1,56,4033,30001
8,15|10|4|2|1,56,2173,30001
8,13|9|4|4|2,55,9333,30001
8,13|10|4|3|2,55,7649,30001
8,12|8|6|5|1,54,11175,30001
8,15|7|5|4|1,54,6003,30001
8,16|7|5|3|1,54,4294,30001
8,16|8|4|2|2,53,2964,30001
8,11|10|5|4|2,52,13199,30001
8,12|10|4|4|2,52,7562,30001
8,14|9|4|4|1,52,4339,30001
8,14|8|7|2|1,51,3533,30001
8,15|9|4|2|2,51,3422,30001
8,12|10|7|2|1,50,3889,30001
8,13|11|5|2|1,50,2709,30001
8,16|8|4|3|1,50,3376,30001
8,12|7|6|4|3,49,23203,30001
8,15|8|4|4|1,49,3733,30001
8,11|9|6|5|1,46,10328,30001
8,11|10|7|3|1,46,6188,30001
8,12|7|6|5|2,46,17374,30001
8,12|11|5|3|1,46,4324,30001
8,13|10|4|4|1,46,3938,30001
8,14|11|4|2|1,46,1811,30001
8,11|9|5|4|3,45,21191,30001
8,13|7|5|4|3,45,18520,30001
8,14|6|6|4|2,45,7878,30001
8,15|7|4|4|2,45,6090,30001
8,13|11|4|3|1,44,3001,30001
8,10|9|7|4|2,43,16379,30001
8,13|8|7|2|2,43,5584,30001
8,10|10|6|4|2,42,10271,30001
8,16|7|4|3|2,42,5040,30001
8,12|9|7|2|2,41,6358,30001
8,12|11|6|2|1,41,2741,30001
8,16|7|6|2|1,41,2307,30001
8,11|8|7|5|1,40,9639,30001
8,15|7|6|2|2,40,3972,30001
8,10|9|6|4|3,39,21271,30001
8,13|7|6|5|1,39,7580,30001
8,10|9|6|5|2,38,16445,30001
8,13|8|4|4|3,38,10321,30001
8,14|7|7|3|1,38,3890,30001
8,15|6|5|4|2,38,7273,30001
8,17|7|4|3|1,38,2298,30001
8,11|9|8|3|1,37,5236,30001
8,16|7|4|4|1,37,2543,30001
8,11|9|6|3|3,36,15203,30001
8,13|7|7|4|1,36,5776,30001
8,16|6|4|4|2,36,3442,30001
8,16|7|5|2|2,36,3255,30001
8,10|8|7|4|3,35,20422,30001
8,12|9|5|3|3,35,13730,30001
8,10|8|7|5|2,34,16923,30001
8,12|9|8|2|1,34,2953,30001
8,13|7|7|3|2,34,8061,30001
8,10|8|8|4|2,33,8724,30001
8,11|9|5|5|2,33,12763,30001
8,12|9|4|4|3,33,10197,30001
8,13|8|5|3|3,33,13516,30001
8,17|7|4|2|2,33,1980,30001
8,10|8|6|5|3,32,24291,30001
8,12|7|7|4|2,32,12456,30001
8,12|8|5|5|2,32,14232,30001
8,12|8|6|3|3,32,16502,30001
8,12|9|5|5|1,32,6653,30001
8,12|11|4|3|2,32,4562,30001
8,12|11|5|2|2,32,3225,30001
8,13|8|5|5|1,32,6431,30001
8,13|11|4|2|2,32,2429,30001
8,10|8|6|4|4,31,15646,30001
8,11|7|6|5|3,31,21943,30001
8,14|7|4|4|3,31,7652,30001
8,15|6|6|3|2,31,4727,30001
8,11|8|8|4|1,30,5237,30001
8,11|10|7|2|2,30,4367,30001
8,11|11|6|3|1,30,3259,30001
8,12|8|8|2|2,30,3050,30001
8,13|7|6|3|3,30,11715,30001
8,15|6|6|4|1,30,3185,30001
8,16|6|5|3|2,30,4741,30001
8,10|8|6|6|2,29,9912,30001
8,14|7|5|3|3,29,9734,30001
8,16|6|5|4|1,29,2953,30001
8,10|9|7|5|1,28,7585,30001
8,11|8|8|3|2,28,7078,30001
8,13|7|5|5|2,28,10673,30001
8,15|10|3|2|2,28,1343,30001
8,12|8|8|3|1,27,4065,30001
8,16|6|6|2|2,27,1690,30001
8,10|10|7|4|1,26,4667,30001
8,11|8|5|4|4,26,13779,30001
8,11|8|7|3|3,26,12738,30001
8,11|11|5|3|2,26,4795,30001
8,12|7|7|5|1,26,5617,30001
8,13|6|6|4|3,26,10051,30001
8,13|8|8|2|1,26,1989,30001
8,13|12|4|2|1,26,1038,30001
8,14|6|5|4|3,26,9717,30001
8,16|9|3|2|2,26,1298,30001
8,17|6|4|3|2,26,2780,30001
8,17|6|5|3|1,26,2114,30001
8,18|6|4|2|2,26,1184,30001
8,11|7|7|4|3,25,14501,30001
8,11|7|7|5|2,25,11725,30001
8,11|10|8|2|1,25,2189,30001
8,12|8|4|4|4,25,6042,30001
8,12|11|4|4|1,25,2350,30001
8,13|9|4|3|3,25,7567,30001
8,14|9|7|1|1,25,1097,30001
8,15|7|7|2|1,25,1643,30001
8,10|9|8|3|2,24,6892,30001
8,10|9|8|4|1,24,5136,30001
8,11|8|6|6|1,24,5374,30001
8,13|6|6|5|2,24,7291,30001
8,14|7|5|5|1,24,4429,30001
