old                                      new
002a0946bfe03dbee2de52e1971dc42723d61780 002a0946bfe03dbee2de52e1971dc42723d61780
00495110c62acfbbbc951e82cc218ed091563b3f ea2ad3087eca6c39acb506973dafab0aec7455a6
005cde874688ce852a8a0fc2e70c97dfe21f9f5d 2b7929efb47674a699335b94c404ff3b285db98d
005fa63b05eefcfe15c16ce34b7b7444e68aa844 005fa63b05eefcfe15c16ce34b7b7444e68aa844
0078f5d45cbae6bd47742e9f78664ab1ad561bf9 0078f5d45cbae6bd47742e9f78664ab1ad561bf9
008a03c4cfc66cae71b3d40db9546c8218a9538a 008a03c4cfc66cae71b3d40db9546c8218a9538a
009ce9d8a2b669ac9d9f0779150e6a40b21bbc1c 009ce9d8a2b669ac9d9f0779150e6a40b21bbc1c
00bce2c6913795170c983bc9d118350b543471e4 5ecc4ce1ae5a0c798fa680202fd3f65cfd7f2e77
00c9f59ea327bd4c4b994f6c440ff8e705096335 00c9f59ea327bd4c4b994f6c440ff8e705096335
013b9131c44c6fb9f89ffd82a07c4776d3f7a0ed 013b9131c44c6fb9f89ffd82a07c4776d3f7a0ed
0152489f80fdd19b64256d2f53a925a2031c21a4 6bcc474f402d5bad9ed7a2cd396524deac6d43e7
0155b53252930742c6df902458f4798372d36db3 b4277bc2d7e75c796854ee7171c5626da6615477
0176a2884ac06751476385e9557f579bcad4f5c9 34d37f4da1c8411d3241f20f4fe8b47d353ca331
02090537908564ab224dda423de6085c166cc593 02090537908564ab224dda423de6085c166cc593
0262ae3911f862ec0a3b6c76486a7582d9c917ff 0262ae3911f862ec0a3b6c76486a7582d9c917ff
026d14acf750dbb6c52bdc7b86da8b47afb5c30d 026d14acf750dbb6c52bdc7b86da8b47afb5c30d
027a5a0cbeb9c60c12e9f2f2b3a42ae84a36e82c 027a5a0cbeb9c60c12e9f2f2b3a42ae84a36e82c
027e6adf307f10c8b50dad4912f20566f4c4fc47 027e6adf307f10c8b50dad4912f20566f4c4fc47
028a0d166f2b483de47ee8db5a3b5d093a462ff4 028a0d166f2b483de47ee8db5a3b5d093a462ff4
028dbf2bc9420a92cae9ca9c801ccf0533b6f445 314daeb5fbce5983ae1cdef75f92e9871a4309cb
02a0da2918d8ffc1c0e9846553945632db8a7f13 d54a48c58416b1c88c2553f9da0223822934579a
02a891d01d1e0d22c617fb857591d5c6b69da9ba 02a891d01d1e0d22c617fb857591d5c6b69da9ba
02a8b76a1c9ec914e5a312470932b712d828aa00 02a8b76a1c9ec914e5a312470932b712d828aa00
02e5e0d61263e857f3a4fcf4596b3a62a05deea4 3e87e13ced667a35ef4a5d3c999fc2811a7ea4e3
02f2ef26fa131d28a419e0601d9dd4f67afbf718 02f2ef26fa131d28a419e0601d9dd4f67afbf718
0314d45216250f7cd4175bf481ea9e8614f35724 7a27ac9409f2c8cad3d8b71b01de2bbb3d1e3f82
03171fa5ea6eb56ab60e02e8148e16d3f1a2966e cefd0c964604a4a941693473da285149043dc4d5
0344ffdae5ee55d2fb9e36a6cb285c24130b70bd 7e790f6849903eb85c7c8c7aa3eae5f1e5f8487e
039c4f43ab116f577398cd30a8077213276a8f48 8de9be243a1d88cc8df8a7c313604794fb39e559
03b67e1a9fd4438623a6f51aadac526661b2682e 03b67e1a9fd4438623a6f51aadac526661b2682e
03ea74c14c60dc175322af7fd2bdb82a9b493032 f8329f864b109259a5656bb272cff7b0e587d296
049d8231047f04e9cc08a8493a25a51b4ca68229 89b171fad01da23a7fd5a3f9f2fe17fcdbbe2bc8
04a61319e82d5035b7aeed53cf7d5ccbb0f92e12 d68f11472247c6797c03c6f72eb0d33164d9515d
04b4222a8330891a7ae3d2665cb3fc9f64dd4c65 ce221e67b676ffc0494d852151f92fcb3c2676c1
04ce254f8c6f4c1b920c7cb3a1bfca634f5f3a80 04ce254f8c6f4c1b920c7cb3a1bfca634f5f3a80
04d40560108c99a103d3e3152e1375823e254706 e15f873556ec8c0a6ebb8d35c93aa0c504693d37
04ed4ffbbcab4bcc6e1b6f2184ba6f562d9ad77c 8293d48dfa292dfbb9a266b7f8ad4f162fde2cc3
04eead037920f9bd76f9fc4b493e976e6db11de8 89ae883e69e23065d78d9755d0ad1c885ae9eb70
050f0463b220963c1753841e7967fc1342566bb7 050f0463b220963c1753841e7967fc1342566bb7
05755e0c5b196a0a4ef3ad1605a35313bb8a137c 05755e0c5b196a0a4ef3ad1605a35313bb8a137c
05b61fbe9f3cf007220bc7d984a82f8e637ced35 05b61fbe9f3cf007220bc7d984a82f8e637ced35
05b92a0a7f339bac03ca4e4cf8133778eb63a260 05b92a0a7f339bac03ca4e4cf8133778eb63a260
0654ded9c44637fa952e7a8d53432e337d4fb78f 0654ded9c44637fa952e7a8d53432e337d4fb78f
068c847b6bd1b25e636aec481fc92b6462004190 593f035c78b68f7d093d772ac88fd52d445a7b68
06b07ef63698c5ed9bede6583f919013af36b345 822eecd16d70e35e4c2ecdf3d07dcea945a982b5
06e98d37a46e4fa5830312763a5c627dbbc0d8af 8779c447bd6dac167b8d1a941ef68334f26cb662
06efc6c4e1b53351d138303b00710fbe91886b1c fdac6006ead4bd0d058b303e6c81a43b30213874
074856e580c4374dc1bf43facd8df4d4544273c5 074856e580c4374dc1bf43facd8df4d4544273c5
07524abf50fd56c4f0b9f4f034e7b697eef2d8d0 07524abf50fd56c4f0b9f4f034e7b697eef2d8d0
07663218f0ab934f649fdba0b140d6beb33e6476 12ecc478acc8a3223ffd2e253565b5e138f1ada2
07b5be19f83267226cb8cf87770e3d191aa0fb03 3d60b866218777f0cdb0c54a5c370d3a536da73b
07b808ebb85beada95b55108615f39bf025b0f13 67d84b93a64b54001e48faf414e63ce00ec78cee
086abb0e87f8ad4c8c0343e1539f845985424971 127dad49559fd6f120827943c7cad2cdfa99b16c
087743e7ce567535f9b28a3ff41be35321145418 087743e7ce567535f9b28a3ff41be35321145418
08b152262bec0a635769983496f2f6e1f54e9e92 2824d7513111fa356e1c8924fb1f2432e05d16a9
08cd2466431947dc4bee2893d14e1092032ffc03 08cd2466431947dc4bee2893d14e1092032ffc03
093df85f0ef1070f9cf07c312de470086de9fa57 582a216f37a092f5920a335a67cd794aac688d64
0953d8bb7a90a3a771ca30544cc7e0a84bcd530e 0953d8bb7a90a3a771ca30544cc7e0a84bcd530e
0961043f306384411b99ac72242c1ca7cb7685d7 0961043f306384411b99ac72242c1ca7cb7685d7
096380e070d8af0235897a9817d5ed2f2f98e133 096380e070d8af0235897a9817d5ed2f2f98e133
097116a8258df1feafae7934732675e2286adbec eabdd71340e931da95599261dc8d114c9da6895b
0995fff4019196a9985fdcea17b74907a3e77b21 425ad2bd771bf6a7ef5d50c4bbadcfc0c5fc0cf5
0a057c54fc0f9ebaee276883f929845b4122ac72 0a057c54fc0f9ebaee276883f929845b4122ac72
0a256746c77c63142b39a9a52f7eb2372341bd21 0a256746c77c63142b39a9a52f7eb2372341bd21
0a3bde1b8e3d74602bb31b793b4da29cd2b0d659 0a3bde1b8e3d74602bb31b793b4da29cd2b0d659
0a579b55bda3457a402cb2c9905af43c081dbb5f 0a579b55bda3457a402cb2c9905af43c081dbb5f
0a5e87aa4b38a9abc0c5a2c7848c55be358eb58c 0a5e87aa4b38a9abc0c5a2c7848c55be358eb58c
0a81d52c4ae2eba8ea0c402fa516d81e0a2115ab ca19fcc887fd7fded69e3f1e210a204ad8f8571f
0a833343c11e9033621972d344eefdcf304ad97e 0a833343c11e9033621972d344eefdcf304ad97e
0a93cb84e519ada22020fa0b651397ed6eabecc9 a99c3c335447896df6581b19ce54ff45a1e410fb
0aa36f8637cf0304e688c173cd7900a8ad75a9cd 3e56c4949e50c97082ca0ae3c88a5206a1ce0f19
0abf78c4ac21c3245347917b70be6e101a3e03bd 1addb1fb14de9759acbe5c85b0163bb0be602580
0ad4affb19c7663e27369ddcf65361af6908e77d d9d4d56e3774e776f01aad67b692fc350581c38f
0ae7901f81eaf2b27e4f4947b69a6edc04304aea 0ae7901f81eaf2b27e4f4947b69a6edc04304aea
0b30d17dc378c9530312436de42599e1845acc46 0b30d17dc378c9530312436de42599e1845acc46
0be33755ceb106bfe37917dbdcb36a476baee3d4 d2d6b67772fc1d017ed5db8a3bddf8a049dffeb1
0c4966df2bdf989320beb5fee18b6a21484c9ad6 0c4966df2bdf989320beb5fee18b6a21484c9ad6
0ca4c9e0033170421594d27558a31cbb39e0f475 55067a3b9bd9f440f6fe2d2412b1703c27a23888
0cd983ffa306201e249a8db336cfd6051585b53f 0cd983ffa306201e249a8db336cfd6051585b53f
0cf29b2a065fc08a5a03f383aa56271d19c0ccad 0cf29b2a065fc08a5a03f383aa56271d19c0ccad
0cfede7cf4f63010496ad91f01ad80e9c3d43ce9 ae60ba85c783ae65ccdf221857007d8194172fa7
0d0d75642659dadcbcef252f6cd99519cd07bf1e 0d0d75642659dadcbcef252f6cd99519cd07bf1e
0d3665388bbcb0c9ee12ef4c0b3623e7b2c2e928 0d3665388bbcb0c9ee12ef4c0b3623e7b2c2e928
0d40a1563103c1ba571688ed268198d298d766af 0d40a1563103c1ba571688ed268198d298d766af
0d71dc54d09ee8bf2edbbaf56fa62cd3f5836e30 0d71dc54d09ee8bf2edbbaf56fa62cd3f5836e30
0db1f88029ac96ce16d8354d42a6000381bbc629 0db1f88029ac96ce16d8354d42a6000381bbc629
0e3577590b16a73088af042e435d1276d0d521ac 916955a044c60d37c7a77c9c02d9d743e9170f85
0e4a0d42fa09e0b0761431770ef11b384e705c1e 50c5c475b94544e7abb19f3e8ef3c87f09013bab
0eaa5942859a67c948cc9ff2d3503c430f6457f5 0eaa5942859a67c948cc9ff2d3503c430f6457f5
0ed24cc2d2a9a0a5127ced819ee3c8dafe84b008 d5807c3088451430f4029edc341b105da0ed5e22
0ed65258bc8cedbec90eb90384329f41ada24ab1 0ed65258bc8cedbec90eb90384329f41ada24ab1
0f97d2f5eb99c2e3ac8082735bb5201c670e7166 a2663ec8ec347392ee52be388971f79d14bd4624
0fc1c38fdc0d20d8a728ca02d1fbe183538497b2 0fc1c38fdc0d20d8a728ca02d1fbe183538497b2
10027d22780d87750f7129fdcfed7fa389c16497 3b1ed3eae59fad8979f7cd135a83bd340bdf8ffc
1002830dc3516bac21498a73e777a9824706b0f7 1002830dc3516bac21498a73e777a9824706b0f7
1012e9eb7d27595fab3a7407246511a8ea22f151 1012e9eb7d27595fab3a7407246511a8ea22f151
102a76f864ec5a52549b251939b8f4bc0f1f1186 d2b1aff66c2a87dcf91363db22cb96c8b92280f5
104f066075697a2d8934048da830f730b4b3d6a2 104f066075697a2d8934048da830f730b4b3d6a2
1079f6cfe5b23d9a4db20305feca7fa42f739a2e 1079f6cfe5b23d9a4db20305feca7fa42f739a2e
107e645b8eadb7f9a54ad583c79404dac98a087c 107e645b8eadb7f9a54ad583c79404dac98a087c
107f4b7ca052a84cf7b7f66e3004d09ee4fd8d52 7ee2f025c499746f8ef3d400aa39e697039f08c9
10d7d4ce72b6154c05a234ede848a42815be87c6 e39e25d4451038f0e60425892863caf9ecd5152b
10f688ecd04f2b4e32496f41d05d2741a0d8cb6f 2c1b7de5cf2344df21eabe805abbdf97ebfa3302
111fc31d75b615b2333fb1f510af01625031a621 f0b36f751f7015c2a666fec736732e1b2b4a18fe
112404c8492a6800d2d90d3988a8e4d061ecaf1f 112404c8492a6800d2d90d3988a8e4d061ecaf1f
11d6db70369dbfcd463d821e5751f40906856fab 11d6db70369dbfcd463d821e5751f40906856fab
11e46630edb7706f7e33d839adc26c5e52ef020c 11e46630edb7706f7e33d839adc26c5e52ef020c
120a2dae71a6521d93a532bf03f81df72b34511b 120a2dae71a6521d93a532bf03f81df72b34511b
