[sweep r=2 d=4] lam=(16, 0) a4=1 mult_R=1 B_full=1 T=1 [1, 1] pts=25 -> excess 0 EXACT
[sweep r=2 d=4] lam=(14, 2) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=2 d=4] lam=(13, 3) a4=1 mult_R=1 B_full=3 T=1 [1, 1] pts=27 -> excess 0 EXACT
[sweep r=2 d=4] lam=(12, 4) a4=2 mult_R=2 B_full=4 T=2 [2, 2] pts=27 -> excess 0 EXACT
[sweep r=2 d=4] lam=(10, 6) a4=2 mult_R=2 B_full=5 T=2 [2, 2] pts=29 -> excess 0 EXACT
[sweep r=2 d=4] lam=(8, 8) a4=1 mult_R=1 B_full=4 T=1 [1, 1] pts=28 -> excess 0 EXACT
summary r=2 delta=4: {'cells': 6, 'swap_exact': 6, 'swap_weaker': 0, 'total_excess': 0, 'total_mult_R': 8, 'total_B_full': 19}  (0.0s)
wrote /home/claude/gct/results/b13_04/descent_sweep_r2_d4.json
--- done sweep 2 4 (exit 0)
[sweep r=2 d=5] lam=(20, 0) a4=1 mult_R=1 B_full=1 T=1 [1, 1] pts=25 -> excess 0 EXACT
[sweep r=2 d=5] lam=(18, 2) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=2 d=5] lam=(17, 3) a4=1 mult_R=1 B_full=3 T=1 [1, 1] pts=27 -> excess 0 EXACT
[sweep r=2 d=5] lam=(16, 4) a4=2 mult_R=2 B_full=4 T=2 [2, 2] pts=27 -> excess 0 EXACT
[sweep r=2 d=5] lam=(15, 5) a4=1 mult_R=1 B_full=5 T=1 [1, 1] pts=31 -> excess 0 EXACT
[sweep r=2 d=5] lam=(14, 6) a4=2 mult_R=2 B_full=6 T=2 [2, 2] pts=29 -> excess 0 EXACT
[sweep r=2 d=5] lam=(13, 7) a4=1 mult_R=1 B_full=6 T=1 [1, 1] pts=31 -> excess 0 EXACT
[sweep r=2 d=5] lam=(12, 8) a4=2 mult_R=2 B_full=6 T=2 [2, 2] pts=29 -> excess 0 EXACT
[sweep r=2 d=5] lam=(10, 10) a4=1 mult_R=1 B_full=5 T=1 [1, 1] pts=29 -> excess 0 EXACT
summary r=2 delta=5: {'cells': 9, 'swap_exact': 9, 'swap_weaker': 0, 'total_excess': 0, 'total_mult_R': 12, 'total_B_full': 38}  (0.0s)
wrote /home/claude/gct/results/b13_04/descent_sweep_r2_d5.json
--- done sweep 2 5 (exit 0)
[sweep r=2 d=6] lam=(24, 0) a4=1 mult_R=1 B_full=1 T=1 [1, 1] pts=25 -> excess 0 EXACT
[sweep r=2 d=6] lam=(22, 2) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=2 d=6] lam=(21, 3) a4=1 mult_R=1 B_full=3 T=1 [1, 1] pts=27 -> excess 0 EXACT
[sweep r=2 d=6] lam=(20, 4) a4=2 mult_R=2 B_full=4 T=2 [2, 2] pts=27 -> excess 0 EXACT
[sweep r=2 d=6] lam=(19, 5) a4=1 mult_R=1 B_full=5 T=1 [1, 1] pts=31 -> excess 0 EXACT
[sweep r=2 d=6] lam=(18, 6) a4=3 mult_R=3 B_full=7 T=3 [3, 3] pts=29 -> excess 0 EXACT
[sweep r=2 d=6] lam=(17, 7) a4=1 mult_R=1 B_full=7 T=1 [1, 1] pts=35 -> excess 0 EXACT
[sweep r=2 d=6] lam=(16, 8) a4=3 mult_R=3 B_full=8 T=3 [3, 3] pts=31 -> excess 0 EXACT
[sweep r=2 d=6] lam=(15, 9) a4=1 mult_R=1 B_full=8 T=1 [1, 1] pts=32 -> excess 0 EXACT
[sweep r=2 d=6] lam=(14, 10) a4=2 mult_R=2 B_full=8 T=2 [2, 2] pts=32 -> excess 0 EXACT
[sweep r=2 d=6] lam=(12, 12) a4=2 mult_R=2 B_full=7 T=2 [2, 2] pts=31 -> excess 0 EXACT
summary r=2 delta=6: {'cells': 11, 'swap_exact': 11, 'swap_weaker': 0, 'total_excess': 0, 'total_mult_R': 18, 'total_B_full': 60}  (0.0s)
wrote /home/claude/gct/results/b13_04/descent_sweep_r2_d6.json
--- done sweep 2 6 (exit 0)
[sweep r=2 d=7] lam=(28, 0) a4=1 mult_R=1 B_full=1 T=1 [1, 1] pts=25 -> excess 0 EXACT
[sweep r=2 d=7] lam=(26, 2) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=2 d=7] lam=(25, 3) a4=1 mult_R=1 B_full=3 T=1 [1, 1] pts=27 -> excess 0 EXACT
[sweep r=2 d=7] lam=(24, 4) a4=2 mult_R=2 B_full=4 T=2 [2, 2] pts=27 -> excess 0 EXACT
[sweep r=2 d=7] lam=(23, 5) a4=1 mult_R=1 B_full=5 T=1 [1, 1] pts=31 -> excess 0 EXACT
[sweep r=2 d=7] lam=(22, 6) a4=3 mult_R=3 B_full=7 T=3 [3, 3] pts=29 -> excess 0 EXACT
[sweep r=2 d=7] lam=(21, 7) a4=2 mult_R=2 B_full=8 T=2 [2, 2] pts=37 -> excess 0 EXACT
[sweep r=2 d=7] lam=(20, 8) a4=3 mult_R=3 B_full=9 T=3 [3, 3] pts=31 -> excess 0 EXACT
[sweep r=2 d=7] lam=(19, 9) a4=2 mult_R=2 B_full=10 T=2 [2, 2] pts=36 -> excess 0 EXACT
[sweep r=2 d=7] lam=(18, 10) a4=3 mult_R=3 B_full=10 T=3 [3, 3] pts=32 -> excess 0 EXACT
[sweep r=2 d=7] lam=(17, 11) a4=1 mult_R=1 B_full=10 T=1 [1, 1] pts=34 -> excess 0 EXACT
[sweep r=2 d=7] lam=(16, 12) a4=3 mult_R=3 B_full=10 T=3 [3, 3] pts=32 -> excess 0 EXACT
[sweep r=2 d=7] lam=(14, 14) a4=1 mult_R=1 B_full=8 T=1 [1, 1] pts=35 -> excess 0 EXACT
summary r=2 delta=7: {'cells': 13, 'swap_exact': 13, 'swap_weaker': 0, 'total_excess': 0, 'total_mult_R': 24, 'total_B_full': 87}  (0.1s)
wrote /home/claude/gct/results/b13_04/descent_sweep_r2_d7.json
--- done sweep 2 7 (exit 0)
[sweep r=2 d=8] lam=(32, 0) a4=1 mult_R=1 B_full=1 T=1 [1, 1] pts=25 -> excess 0 EXACT
[sweep r=2 d=8] lam=(30, 2) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=2 d=8] lam=(29, 3) a4=1 mult_R=1 B_full=3 T=1 [1, 1] pts=27 -> excess 0 EXACT
[sweep r=2 d=8] lam=(28, 4) a4=2 mult_R=2 B_full=4 T=2 [2, 2] pts=27 -> excess 0 EXACT
[sweep r=2 d=8] lam=(27, 5) a4=1 mult_R=1 B_full=5 T=1 [1, 1] pts=31 -> excess 0 EXACT
[sweep r=2 d=8] lam=(26, 6) a4=3 mult_R=3 B_full=7 T=3 [3, 3] pts=29 -> excess 0 EXACT
[sweep r=2 d=8] lam=(25, 7) a4=2 mult_R=2 B_full=8 T=2 [2, 2] pts=37 -> excess 0 EXACT
[sweep r=2 d=8] lam=(24, 8) a4=4 mult_R=4 B_full=10 T=4 [4, 4] pts=31 -> excess 0 EXACT
[sweep r=2 d=8] lam=(23, 9) a4=2 mult_R=2 B_full=11 T=2 [2, 2] pts=37 -> excess 0 EXACT
[sweep r=2 d=8] lam=(22, 10) a4=4 mult_R=4 B_full=12 T=4 [4, 4] pts=33 -> excess 0 EXACT
[sweep r=2 d=8] lam=(21, 11) a4=2 mult_R=2 B_full=12 T=2 [2, 2] pts=35 -> excess 0 EXACT
[sweep r=2 d=8] lam=(20, 12) a4=4 mult_R=4 B_full=13 T=4 [4, 4] pts=34 -> excess 0 EXACT
[sweep r=2 d=8] lam=(19, 13) a4=1 mult_R=1 B_full=12 T=1 [1, 1] pts=37 -> excess 0 EXACT
[sweep r=2 d=8] lam=(18, 14) a4=3 mult_R=3 B_full=12 T=3 [3, 3] pts=34 -> excess 0 EXACT
[sweep r=2 d=8] lam=(16, 16) a4=2 mult_R=2 B_full=10 T=2 [2, 2] pts=33 -> excess 0 EXACT
summary r=2 delta=8: {'cells': 15, 'swap_exact': 15, 'swap_weaker': 0, 'total_excess': 0, 'total_mult_R': 33, 'total_B_full': 122}  (0.1s)
wrote /home/claude/gct/results/b13_04/descent_sweep_r2_d8.json
--- done sweep 2 8 (exit 0)
[sweep r=3 d=2] lam=(8, 0, 0) a4=1 mult_R=1 B_full=1 T=1 [1, 1] pts=25 -> excess 0 EXACT
[sweep r=3 d=2] lam=(6, 2, 0) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=3 d=2] lam=(4, 4, 0) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
summary r=3 delta=2: {'cells': 3, 'swap_exact': 3, 'swap_weaker': 0, 'total_excess': 0, 'total_mult_R': 3, 'total_B_full': 5}  (0.0s)
wrote /home/claude/gct/results/b13_04/descent_sweep_r3_d2.json
--- done sweep 3 2 (exit 0)
[sweep r=3 d=5] lam=(20, 0, 0) a4=1 mult_R=1 B_full=1 T=1 [1, 1] pts=25 -> excess 0 EXACT
[sweep r=3 d=5] lam=(18, 2, 0) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=3 d=5] lam=(17, 3, 0) a4=1 mult_R=1 B_full=3 T=1 [1, 1] pts=28 -> excess 0 EXACT
[sweep r=3 d=5] lam=(16, 4, 0) a4=2 mult_R=2 B_full=4 T=2 [2, 2] pts=28 -> excess 0 EXACT
[sweep r=3 d=5] lam=(16, 2, 2) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=3 d=5] lam=(15, 5, 0) a4=1 mult_R=1 B_full=5 T=1 [1, 1] pts=30 -> excess 0 EXACT
[sweep r=3 d=5] lam=(15, 4, 1) a4=1 mult_R=1 B_full=4 T=1 [1, 1] pts=29 -> excess 0 EXACT
[sweep r=3 d=5] lam=(15, 3, 2) a4=1 mult_R=1 B_full=4 T=1 [1, 1] pts=29 -> excess 0 EXACT
[sweep r=3 d=5] lam=(14, 6, 0) a4=2 mult_R=2 B_full=6 T=2 [2, 2] pts=29 -> excess 0 EXACT
[sweep r=3 d=5] lam=(14, 5, 1) a4=1 mult_R=1 B_full=5 T=1 [1, 1] pts=29 -> excess 0 EXACT
[sweep r=3 d=5] lam=(14, 4, 2) a4=3 mult_R=3 B_full=8 T=3 [3, 3] pts=30 -> excess 0 EXACT
[sweep r=3 d=5] lam=(13, 7, 0) a4=1 mult_R=1 B_full=6 T=1 [1, 1] pts=30 -> excess 0 EXACT
[sweep r=3 d=5] lam=(13, 6, 1) a4=2 mult_R=2 B_full=7 T=2 [2, 2] pts=31 -> excess 0 EXACT
[sweep r=3 d=5] lam=(13, 5, 2) a4=2 mult_R=2 B_full=10 T=2 [2, 2] pts=34 -> excess 0 EXACT
[sweep r=3 d=5] lam=(13, 4, 3) a4=2 mult_R=2 B_full=7 T=2 [2, 2] pts=31 -> excess 0 EXACT
[sweep r=3 d=5] lam=(12, 8, 0) a4=2 mult_R=2 B_full=6 T=2 [2, 2] pts=29 -> excess 0 EXACT
[sweep r=3 d=5] lam=(12, 7, 1) a4=1 mult_R=1 B_full=7 T=1 [1, 1] pts=31 -> excess 0 EXACT
[sweep r=3 d=5] lam=(12, 6, 2) a4=4 mult_R=4 B_full=13 T=4 [4, 4] pts=34 -> excess 0 EXACT
[sweep r=3 d=5] lam=(12, 5, 3) a4=1 mult_R=1 B_full=9 T=1 [1, 1] pts=33 -> excess 0 EXACT
[sweep r=3 d=5] lam=(12, 4, 4) a4=3 mult_R=3 B_full=6 T=3 [3, 3] pts=28 -> excess 0 EXACT
[sweep r=3 d=5] lam=(11, 8, 1) a4=1 mult_R=1 B_full=7 T=1 [1, 1] pts=32 -> excess 0 EXACT
[sweep r=3 d=5] lam=(11, 7, 2) a4=2 mult_R=2 B_full=13 T=2 [2, 2] pts=36 -> excess 0 EXACT
[sweep r=3 d=5] lam=(11, 6, 3) a4=3 mult_R=3 B_full=13 T=3 [3, 3] pts=35 -> excess 0 EXACT
[sweep r=3 d=5] lam=(11, 5, 4) a4=1 mult_R=1 B_full=8 T=1 [1, 1] pts=32 -> excess 0 EXACT
[sweep r=3 d=5] lam=(10, 10, 0) a4=1 mult_R=1 B_full=5 T=1 [1, 1] pts=30 -> excess 0 EXACT
[sweep r=3 d=5] lam=(10, 9, 1) a4=1 mult_R=1 B_full=6 T=1 [1, 1] pts=30 -> excess 0 EXACT
[sweep r=3 d=5] lam=(10, 8, 2) a4=3 mult_R=3 B_full=12 T=3 [3, 3] pts=34 -> excess 0 EXACT
[sweep r=3 d=5] lam=(10, 7, 3) a4=2 mult_R=2 B_full=12 T=2 [2, 2] pts=36 -> excess 0 EXACT
[sweep r=3 d=5] lam=(10, 6, 4) a4=4 mult_R=4 B_full=12 T=4 [4, 4] pts=33 -> excess 0 EXACT
[sweep r=3 d=5] lam=(9, 8, 3) a4=1 mult_R=1 B_full=11 T=1 [1, 1] pts=35 -> excess 0 EXACT
[sweep r=3 d=5] lam=(9, 7, 4) a4=1 mult_R=1 B_full=11 T=1 [1, 1] pts=35 -> excess 0 EXACT
[sweep r=3 d=5] lam=(9, 6, 5) a4=1 mult_R=1 B_full=6 T=1 [1, 1] pts=30 -> excess 0 EXACT
[sweep r=3 d=5] lam=(8, 8, 4) a4=2 mult_R=2 B_full=9 T=2 [2, 2] pts=32 -> excess 0 EXACT
[sweep r=3 d=5] lam=(8, 6, 6) a4=2 mult_R=2 B_full=4 T=2 [2, 2] pts=27 -> excess 0 EXACT
summary r=3 delta=5: {'cells': 34, 'swap_exact': 34, 'swap_weaker': 0, 'total_excess': 0, 'total_mult_R': 58, 'total_B_full': 244}  (0.7s)
wrote /home/claude/gct/results/b13_04/descent_sweep_r3_d5.json
--- done sweep 3 5 (exit 0)
[sweep r=3 d=6] lam=(24, 0, 0) a4=1 mult_R=1 B_full=1 T=1 [1, 1] pts=25 -> excess 0 EXACT
[sweep r=3 d=6] lam=(22, 2, 0) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=3 d=6] lam=(21, 3, 0) a4=1 mult_R=1 B_full=3 T=1 [1, 1] pts=28 -> excess 0 EXACT
[sweep r=3 d=6] lam=(20, 4, 0) a4=2 mult_R=2 B_full=4 T=2 [2, 2] pts=28 -> excess 0 EXACT
[sweep r=3 d=6] lam=(20, 2, 2) a4=1 mult_R=1 B_full=2 T=1 [1, 1] pts=26 -> excess 0 EXACT
[sweep r=3 d=6] lam=(19, 5, 0) a4=1 mult_R=1 B_full=5 T=1 [1, 1] pts=30 -> excess 0 EXACT
[sweep r=3 d=6] lam=(19, 4, 1) a4=1 mult_R=1 B_full=4 T=1 [1, 1] pts=29 -> excess 0 EXACT
[sweep r=3 d=6] lam=(19, 3, 2) a4=1 mult_R=1 B_full=4 T=1 [1, 1] pts=29 -> excess 0 EXACT
[sweep r=3 d=6] lam=(18, 6, 0) a4=3 mult_R=3 B_full=7 T=3 [3, 3] pts=29 -> excess 0 EXACT
[sweep r=3 d=6] lam=(18, 5, 1) a4=1 mult_R=1 B_full=5 T=1 [1, 1] pts=29 -> excess 0 EXACT
[sweep r=3 d=6] lam=(18, 4, 2) a4=3 mult_R=3 B_full=8 T=3 [3, 3] pts=30 -> excess 0 EXACT
[sweep r=3 d=6] lam=(17, 7, 0) a4=1 mult_R=1 B_full=7 T=1 [1, 1] pts=31 -> excess 0 EXACT
[sweep r=3 d=6] lam=(17, 6, 1) a4=2 mult_R=2 B_full=8 T=2 [2, 2] pts=32 -> excess 0 EXACT
[sweep r=3 d=6] lam=(17, 5, 2) a4=3 mult_R=3 B_full=11 T=3 [3, 3] pts=34 -> excess 0 EXACT
[sweep r=3 d=6] lam=(17, 4, 3) a4=2 mult_R=2 B_full=7 T=2 [2, 2] pts=31 -> excess 0 EXACT
[sweep r=3 d=6] lam=(16, 8, 0) a4=3 mult_R=3 B_full=8 T=3 [3, 3] pts=31 -> excess 0 EXACT
[sweep r=3 d=6] lam=(16, 7, 1) a4=2 mult_R=2 B_full=9 T=2 [2, 2] pts=32 -> excess 0 EXACT
[sweep r=3 d=6] lam=(16, 6, 2) a4=5 mult_R=5 B_full=16 T=5 [5, 5] pts=36 -> excess 0 EXACT
[sweep r=3 d=6] lam=(16, 5, 3) a4=2 mult_R=2 B_full=11 T=2 [2, 2] pts=34 -> excess 0 EXACT
[sweep r=3 d=6] lam=(16, 4, 4) a4=4 mult_R=4 B_full=7 T=4 [4, 4] pts=28 -> excess 0 EXACT
[sweep r=3 d=6] lam=(15, 9, 0) a4=1 mult_R=1 B_full=8 T=1 [1, 1] pts=33 -> excess 0 EXACT
[sweep r=3 d=6] lam=(15, 8, 1) a4=2 mult_R=2 B_full=10 T=2 [2, 2] pts=33 -> excess 0 EXACT
