L = 495
delta=12 lam1=17  N_S=5.14463e+10   n_chi~=5.104e+06  (stab 10080)  12.9s
delta=13 lam1=21  N_S=8.09214e+10   n_chi~=1.606e+07  (stab 5040)  17.6s
delta=14 lam1=25  N_S=1.06429e+11   n_chi~=2.112e+07  (stab 5040)  22.3s
delta=15 lam1=29  N_S=1.25518e+11   n_chi~=2.49e+07  (stab 5040)  38.5s
delta=16 lam1=33  N_S=1.38517e+11   n_chi~=2.748e+07  (stab 5040)  38.0s
delta=17 lam1=37  N_S=1.46748e+11   n_chi~=2.912e+07  (stab 5040)  43.9s
delta=18 lam1=41  N_S=1.51601e+11   n_chi~=3.008e+07  (stab 5040)  52.4s
delta=19 lam1=45  N_S=1.54242e+11   n_chi~=3.06e+07  (stab 5040)  64.0s
delta=20 lam1=49  N_S=1.55548e+11   n_chi~=3.086e+07  (stab 5040)  77.9s
delta=21 lam1=53  N_S=1.56125e+11   n_chi~=3.098e+07  (stab 5040)  95.1s
delta=22 lam1=57  N_S=1.56347e+11   n_chi~=3.102e+07  (stab 5040)  107.7s
delta=23 lam1=61  N_S=1.56419e+11   n_chi~=3.104e+07  (stab 5040)  115.1s
delta=24 lam1=65  N_S=1.56439e+11   n_chi~=3.104e+07  (stab 5040)  138.9s
