15:27:26 worker desc (desc) pid 2213 starting, delta 8..12
15:27:33 engines for delta=12 built (125318 W-support classes, 18791 plethysm classes) [7s]
15:27:33 chunk delta=12 ell=10: 8961 candidates, 0 already banked
15:28:00   ... 200/8961 (a>=1: 7, a=0: 193; one-bit 0, forced 0; memo 2345368 entries, 1 clears) [27s]
15:28:35   ... 400/8961 (a>=1: 47, a=0: 353; one-bit 0, forced 0; memo 6288587 entries, 3 clears) [62s]
15:29:45   ... 600/8961 (a>=1: 159, a=0: 441; one-bit 0, forced 0; memo 12791300 entries, 7 clears) [132s]
15:31:26   ... 800/8961 (a>=1: 290, a=0: 510; one-bit 0, forced 0; memo 3459707 entries, 13 clears) [233s]
15:32:57   ... 1000/8961 (a>=1: 438, a=0: 562; one-bit 0, forced 0; memo 6869270 entries, 19 clears) [324s]
15:34:37   ... 1200/8961 (a>=1: 581, a=0: 619; one-bit 0, forced 0; memo 12299283 entries, 25 clears) [424s]
15:36:38   ... 1400/8961 (a>=1: 759, a=0: 641; one-bit 0, forced 0; memo 7744906 entries, 33 clears) [545s]
15:38:32   ... 1600/8961 (a>=1: 922, a=0: 678; one-bit 0, forced 0; memo 12897675 entries, 40 clears) [659s]
15:40:46   ... 1800/8961 (a>=1: 1094, a=0: 706; one-bit 0, forced 0; memo 10516731 entries, 48 clears) [793s]
15:43:22   ... 2000/8961 (a>=1: 1266, a=0: 734; one-bit 0, forced 0; memo 9061653 entries, 56 clears) [948s]
15:47:58   ... 2200/8961 (a>=1: 1456, a=0: 744; one-bit 0, forced 0; memo 2369420 entries, 65 clears) [1225s]
15:50:57   ... 2400/8961 (a>=1: 1611, a=0: 789; one-bit 0, forced 0; memo 11407620 entries, 72 clears) [1403s]
15:53:56   ... 2600/8961 (a>=1: 1809, a=0: 791; one-bit 0, forced 0; memo 10186589 entries, 81 clears) [1583s]
15:56:50   ... 2800/8961 (a>=1: 1997, a=0: 803; one-bit 0, forced 0; memo 6959454 entries, 90 clears) [1757s]
15:59:32   ... 3000/8961 (a>=1: 2166, a=0: 834; one-bit 0, forced 0; memo 12420382 entries, 98 clears) [1919s]
16:02:34   ... 3200/8961 (a>=1: 2362, a=0: 838; one-bit 0, forced 0; memo 11654897 entries, 107 clears) [2101s]
16:05:34   ... 3400/8961 (a>=1: 2554, a=0: 846; one-bit 0, forced 0; memo 10459082 entries, 116 clears) [2280s]
16:08:28   ... 3600/8961 (a>=1: 2726, a=0: 874; one-bit 0, forced 0; memo 6718386 entries, 125 clears) [2454s]
16:11:03   ... 3800/8961 (a>=1: 2923, a=0: 877; one-bit 0, forced 0; memo 10742769 entries, 134 clears) [2610s]
16:14:15   ... 4000/8961 (a>=1: 3118, a=0: 882; one-bit 0, forced 0; memo 14274061 entries, 143 clears) [2802s]
16:17:21   ... 4200/8961 (a>=1: 3315, a=0: 885; one-bit 0, forced 0; memo 1593116 entries, 153 clears) [2988s]
16:19:46   ... 4400/8961 (a>=1: 3494, a=0: 906; one-bit 0, forced 0; memo 14873157 entries, 161 clears) [3133s]
16:22:14   ... 4600/8961 (a>=1: 3679, a=0: 921; one-bit 0, forced 0; memo 16103207 entries, 170 clears) [3281s]
16:25:18   ... 4800/8961 (a>=1: 3874, a=0: 926; one-bit 0, forced 0; memo 6275140 entries, 180 clears) [3464s]
16:28:12   ... 5000/8961 (a>=1: 4071, a=0: 929; one-bit 0, forced 0; memo 10689062 entries, 189 clears) [3639s]
16:30:47   ... 5200/8961 (a>=1: 4259, a=0: 941; one-bit 0, forced 0; memo 5951214 entries, 198 clears) [3793s]
16:33:02   ... 5400/8961 (a>=1: 4440, a=0: 960; one-bit 0, forced 0; memo 3092383 entries, 207 clears) [3928s]
16:35:35   ... 5600/8961 (a>=1: 4631, a=0: 969; one-bit 0, forced 0; memo 6870677 entries, 216 clears) [4082s]
16:37:55   ... 5800/8961 (a>=1: 4829, a=0: 971; one-bit 0, forced 0; memo 1701247 entries, 226 clears) [4222s]
16:40:44   ... 6000/8961 (a>=1: 5021, a=0: 979; one-bit 0, forced 0; memo 5470712 entries, 235 clears) [4391s]
16:43:40   ... 6200/8961 (a>=1: 5216, a=0: 984; one-bit 0, forced 0; memo 5189549 entries, 244 clears) [4566s]
16:46:31   ... 6400/8961 (a>=1: 5405, a=0: 995; one-bit 0, forced 0; memo 16655745 entries, 252 clears) [4738s]
16:48:58   ... 6600/8961 (a>=1: 5587, a=0: 1013; one-bit 0, forced 0; memo 11976142 entries, 261 clears) [4885s]
16:52:05   ... 6800/8961 (a>=1: 5780, a=0: 1020; one-bit 0, forced 0; memo 7702428 entries, 271 clears) [5071s]
16:55:05   ... 7000/8961 (a>=1: 5975, a=0: 1025; one-bit 0, forced 0; memo 14438984 entries, 280 clears) [5251s]
16:57:51   ... 7200/8961 (a>=1: 6170, a=0: 1030; one-bit 0, forced 0; memo 13612460 entries, 289 clears) [5418s]
17:00:24   ... 7400/8961 (a>=1: 6361, a=0: 1039; one-bit 0, forced 0; memo 8466248 entries, 298 clears) [5570s]
17:03:10   ... 7600/8961 (a>=1: 6551, a=0: 1049; one-bit 0, forced 0; memo 13870550 entries, 306 clears) [5736s]
17:06:00   ... 7800/8961 (a>=1: 6733, a=0: 1067; one-bit 0, forced 0; memo 10321107 entries, 315 clears) [5907s]
17:08:35   ... 8000/8961 (a>=1: 6928, a=0: 1072; one-bit 0, forced 0; memo 15999787 entries, 324 clears) [6062s]
17:10:51   ... 8200/8961 (a>=1: 7123, a=0: 1077; one-bit 0, forced 0; memo 6370747 entries, 334 clears) [6198s]
17:13:10   ... 8400/8961 (a>=1: 7317, a=0: 1083; one-bit 0, forced 0; memo 4591650 entries, 343 clears) [6337s]
17:15:15   ... 8600/8961 (a>=1: 7508, a=0: 1092; one-bit 0, forced 0; memo 10023130 entries, 351 clears) [6462s]
17:17:53   ... 8800/8961 (a>=1: 7700, a=0: 1100; one-bit 0, forced 0; memo 11600361 entries, 359 clears) [6620s]
17:19:59 chunk delta=12 ell=10 DONE: 8961 candidates, 7840 cells (a>=1), 1121 with a=0; one-bit 0, forced 0; tightest (17, (30, 2, 2, 2, 2, 2, 2, 2, 2, 2), 1, 18) [6745s]
17:19:59 chunk delta=12 ell=9: 9018 candidates, 0 already banked
17:20:21   ... 200/9018 (a>=1: 18, a=0: 182; one-bit 0, forced 0; memo 7804533 entries, 367 clears) [21s]
17:21:13   ... 400/9018 (a>=1: 117, a=0: 283; one-bit 0, forced 0; memo 15539786 entries, 370 clears) [73s]
17:22:37   ... 600/9018 (a>=1: 268, a=0: 332; one-bit 0, forced 0; memo 4215643 entries, 376 clears) [158s]
17:24:28   ... 800/9018 (a>=1: 419, a=0: 381; one-bit 0, forced 0; memo 15724930 entries, 381 clears) [269s]
17:26:45   ... 1000/9018 (a>=1: 602, a=0: 398; one-bit 0, forced 0; memo 16138201 entries, 388 clears) [406s]
17:28:58   ... 1200/9018 (a>=1: 773, a=0: 427; one-bit 0, forced 0; memo 15553358 entries, 395 clears) [539s]
17:31:18   ... 1400/9018 (a>=1: 942, a=0: 458; one-bit 0, forced 0; memo 15966768 entries, 402 clears) [679s]
17:33:21   ... 1600/9018 (a>=1: 1137, a=0: 463; one-bit 0, forced 0; memo 2326503 entries, 411 clears) [802s]
17:35:49   ... 1800/9018 (a>=1: 1311, a=0: 489; one-bit 0, forced 0; memo 12926088 entries, 418 clears) [950s]
17:38:29   ... 2000/9018 (a>=1: 1507, a=0: 493; one-bit 0, forced 0; memo 2460228 entries, 427 clears) [1110s]
17:41:00   ... 2200/9018 (a>=1: 1685, a=0: 515; one-bit 0, forced 0; memo 3146447 entries, 435 clears) [1261s]
17:43:40   ... 2400/9018 (a>=1: 1884, a=0: 516; one-bit 0, forced 0; memo 11955519 entries, 443 clears) [1421s]
17:46:13   ... 2600/9018 (a>=1: 2076, a=0: 524; one-bit 0, forced 0; memo 8630445 entries, 452 clears) [1573s]
17:48:25   ... 2800/9018 (a>=1: 2268, a=0: 532; one-bit 0, forced 0; memo 3423113 entries, 461 clears) [1706s]
17:51:19   ... 3000/9018 (a>=1: 2467, a=0: 533; one-bit 0, forced 0; memo 16213040 entries, 469 clears) [1880s]
17:54:20   ... 3200/9018 (a>=1: 2662, a=0: 538; one-bit 0, forced 0; memo 3402356 entries, 479 clears) [2061s]
17:57:15   ... 3400/9018 (a>=1: 2855, a=0: 545; one-bit 0, forced 0; memo 3260551 entries, 488 clears) [2236s]
17:59:37   ... 3600/9018 (a>=1: 3054, a=0: 546; one-bit 0, forced 0; memo 1358177 entries, 497 clears) [2378s]
18:02:19   ... 3800/9018 (a>=1: 3252, a=0: 548; one-bit 0, forced 0; memo 1545666 entries, 506 clears) [2540s]
18:05:14   ... 4000/9018 (a>=1: 3445, a=0: 555; one-bit 0, forced 0; memo 10469619 entries, 515 clears) [2714s]
18:08:11   ... 4200/9018 (a>=1: 3645, a=0: 555; one-bit 0, forced 0; memo 11827297 entries, 524 clears) [2892s]
18:11:15   ... 4400/9018 (a>=1: 3843, a=0: 557; one-bit 0, forced 0; memo 13193617 entries, 533 clears) [3075s]
18:14:13   ... 4600/9018 (a>=1: 4040, a=0: 560; one-bit 0, forced 0; memo 13740337 entries, 542 clears) [3253s]
18:16:55   ... 4800/9018 (a>=1: 4239, a=0: 561; one-bit 0, forced 0; memo 8288062 entries, 552 clears) [3416s]
18:19:31   ... 5000/9018 (a>=1: 4439, a=0: 561; one-bit 0, forced 0; memo 16399904 entries, 561 clears) [3572s]
18:22:34   ... 5200/9018 (a>=1: 4638, a=0: 562; one-bit 0, forced 0; memo 8809841 entries, 571 clears) [3755s]
