[s44 ladder] n=4 r=6 d=4..7, seed 20260903, 3 trials/kind, box +-1000000, primes (2147483647, 2147483629)
  d   rows   cols   h_d  rho_d   ceil     kind  t  rank p1  rank p2  corank   drop
  4     36    126    90     36     66   smooth  0       36       36      90      0  [0.0s]
  4     36    126    90     36     66   smooth  1       36       36      90      0  [0.0s]
  4     36    126    90     36     66   smooth  2       36       36      90      0  [0.0s]
  4     36    126    90     36     66      det  0       36       36      90      0  [0.0s]
  4     36    126    90     36     66      det  1       36       36      90      0  [0.0s]
  4     36    126    90     36     66      det  2       36       36      90      0  [0.0s]
  4     36    126    90     36     66      pad  0       36       36      90      0  [0.0s]
  4     36    126    90     36     66      pad  1       36       36      90      0  [0.0s]
  4     36    126    90     36     66      pad  2       36       36      90      0  [0.0s]
  5    126    252   126    126    172   smooth  0      126      126     126      0  [0.0s]
  5    126    252   126    126    172   smooth  1      126      126     126      0  [0.0s]
  5    126    252   126    126    172   smooth  2      126      126     126      0  [0.0s]
  5    126    252   126    126    172      det  0      126      126     126      0  [0.0s]
  5    126    252   126    126    172      det  1      126      126     126      0  [0.0s]
  5    126    252   126    126    172      det  2      126      126     126      0  [0.0s]
  5    126    252   126    126    172      pad  0      116      116     136     10 *DROP*  [0.0s]
  5    126    252   126    126    172      pad  1      116      116     136     10 *DROP*  [0.0s]
  5    126    252   126    126    172      pad  2      116      116     136     10 *DROP*  [0.0s]
  6    336    462   141    321    362   smooth  0      321      321     141      0  [0.1s]
  6    336    462   141    321    362   smooth  1      321      321     141      0  [0.1s]
  6    336    462   141    321    362   smooth  2      321      321     141      0  [0.1s]
  6    336    462   141    321    362      det  0      321      321     141      0  [0.1s]
  6    336    462   141    321    362      det  1      321      321     141      0  [0.1s]
  6    336    462   141    321    362      det  2      321      321     141      0  [0.1s]
  6    336    462   141    321    362      pad  0      271      271     191     50 *DROP*  [0.1s]
  6    336    462   141    321    362      pad  1      271      271     191     50 *DROP*  [0.1s]
  6    336    462   141    321    362      pad  2      271      271     191     50 *DROP*  [0.1s]
  7    756    792   126    666    672   smooth  0      666      666     126      0  [0.6s]
  7    756    792   126    666    672   smooth  1      666      666     126      0  [0.6s]
  7    756    792   126    666    672   smooth  2      666      666     126      0  [0.6s]
  7    756    792   126    666    672      det  0      660      660     132      6 *DROP*  [0.6s]
  7    756    792   126    666    672      det  1      660      660     132      6 *DROP*  [0.6s]
  7    756    792   126    666    672      det  2      660      660     132      6 *DROP*  [0.6s]
  7    756    792   126    666    672      pad  0      526      526     266    140 *DROP*  [0.5s]
  7    756    792   126    666    672      pad  1      526      526     266    140 *DROP*  [0.5s]
  7    756    792   126    666    672      pad  2      526      526     266    140 *DROP*  [0.5s]

first strict drop, det: d = 7, rho_d = 666
first strict drop, pad: d = 5, rho_d = 126
[s44 ladder] done in 6.8s
