[s44 sweep] seed 20260903, 2 det trials, maxcols 3500, primes (2147483647, 2147483629)
 n  r |  d*  rho_d*   rank  drop  corank  h_d* | GN forced d rho at forced | status
 3  5 |   4      65     64     1       6     5 |           4            65 | drop
 3  6 |   4     111    102     9      24    15 |           4           111 | drop
 3  7 |   3      49     47     2      37    35 |           3            49 | drop
 3  8 |   3      64     56     8      64    56 |           3            64 | drop
 4  5 |   7     300    299     1      31    30 |           8           480 | drop
 4  6 |   7     666    660     6     132   126 |           8          1197 | drop
 4  7 |   7    1323   1279    44     437   393 |           7          1323 | drop
 4  8 |   7    2416   2248   168    1184  1016 |           7          2416 | drop
 5  5 |  10     900    899     1     102   101 |          12          1785 | drop
 5  6 |  10    2457   2451     6     552   546 |          12          5852 | drop
 5  7 |   -       -      -     -       -     - |          11         10248 | too big at d=9 (cols 5005, rows 3234, ranks None, rho None)
 5  8 |   -       -      -     -       -     - |          11         24096 | too big at d=8 (cols 6435, rows 2640, ranks None, rho None)
[s44 sweep] done in 167.1s
