(16, 13, 4, 1, 1, 1)     d=9 a=7   h_pad=9   mult_red=6   h-a=2   deficit=1  a_rec_ok=True
(17, 12, 4, 1, 1, 1)     d=9 a=8   h_pad=12  mult_red=7   h-a=4   deficit=1  a_rec_ok=True
(10, 8, 7, 1, 1, 1)      d=7 a=3   h_pad=2   mult_red=2   h-a=-1  deficit=0  a_rec_ok=True
(11, 9, 9, 1, 1, 1)      d=8 a=3   h_pad=1   mult_red=1   h-a=-2  deficit=0  a_rec_ok=True
(11, 10, 8, 1, 1, 1)     d=8 a=4   h_pad=2   mult_red=2   h-a=-2  deficit=0  a_rec_ok=True
(12, 9, 8, 1, 1, 1)      d=8 a=6   h_pad=4   mult_red=4   h-a=-2  deficit=0  a_rec_ok=True
(12, 10, 7, 1, 1, 1)     d=8 a=9   h_pad=7   mult_red=7   h-a=-2  deficit=0  a_rec_ok=True
(4, 4, 4, 4, 4, 4)       d=6 a=1   h_pad=0   mult_red=0   h-a=-1  deficit=0  a_rec_ok=True
(8, 4, 4, 4, 4)          d=6 a=2   h_pad=1   mult_red=0   h-a=-1  deficit=1  a_rec_ok=False
(9, 9, 8, 1, 1)          d=7 a=2   h_pad=1   mult_red=1   h-a=-1  deficit=0  a_rec_ok=True
(8, 8, 8, 2, 2)          d=7 a=3   h_pad=2   mult_red=1   h-a=-1  deficit=1  a_rec_ok=False
