  m   r   m^2 r  orbit   sharp   dimSym  count?  rank p1  rank p2  dense?  codim  time
 13   3     507     24     483      105    True      105      105    True      0  10.0s
 13   4     676     24     652      560    True      560      560    True      0  17.5s
 14   3     588     26     562      120    True      120      120    True      0  24.0s
 14   4     784     26     758      680    True      680      680    True      0  44.4s
 15   3     675     28     647      136    True      136      136    True      0  63.0s
 15   4     900     28     872      816    True      816      816    True      0  117.1s
 16   3     768     30     738      153    True      153      153    True      0  144.0s
 16   4    1024     30     994      969    True      969      969    True      0  279.4s
 17   3     867     32     835      171    True      171      171    True      0  339.6s
 17   4    1156     32    1124     1140   False     1124     1124   False     16  687.7s
