ell=6 seed=0: c=24, h(f)=-46952804112, c^ell disc(q)=-46952804112, nonzero and equal: True
ell=6 seed=1: c=40, h(f)=-139015889469561/16, c^ell disc(q)=-139015889469561/16, nonzero and equal: True
ell=6 seed=2: c=16, h(f)=13133916131297/2, c^ell disc(q)=13133916131297/2, nonzero and equal: True
ell=7 seed=0: c=-24, h(f)=-187368298198431/2, c^ell disc(q)=-187368298198431/2, nonzero and equal: True
ell=7 seed=1: c=24, h(f)=299901148475079/16, c^ell disc(q)=299901148475079/16, nonzero and equal: True
ell=7 seed=2: c=-13, h(f)=-407781417099255111/128, c^ell disc(q)=-407781417099255111/128, nonzero and equal: True
ell=8 seed=0: c=-34, h(f)=-132388098789356481/32, c^ell disc(q)=-132388098789356481/32, nonzero and equal: True
ell=8 seed=1: c=-26, h(f)=-5671867754828653/128, c^ell disc(q)=-5671867754828653/128, nonzero and equal: True
ell=8 seed=2: c=-35, h(f)=2207222705879166527/512, c^ell disc(q)=2207222705879166527/512, nonzero and equal: True
ell=9 seed=0: c=-21, h(f)=4072766603398941105/32, c^ell disc(q)=4072766603398941105/32, nonzero and equal: True
ell=9 seed=1: c=6, h(f)=555904356833113155/256, c^ell disc(q)=555904356833113155/256, nonzero and equal: True
ell=9 seed=2: c=-56, h(f)=-154033316840620092533/32, c^ell disc(q)=-154033316840620092533/32, nonzero and equal: True
ell=10 seed=0: c=-192, h(f)=-10313323734707474886144, c^ell disc(q)=-10313323734707474886144, nonzero and equal: True
ALL CHECKS PASSED
