  ...2000/35137 cells, 0 mismatches [118s]
  ...4000/35137 cells, 0 mismatches [350s]
  ...6000/35137 cells, 0 mismatches [834s]
  ...8000/35137 cells, 0 mismatches [1037s]
  ...10000/35137 cells, 0 mismatches [1517s]
  ...12000/35137 cells, 0 mismatches [2418s]
  ...14000/35137 cells, 0 mismatches [3079s]
  ...16000/35137 cells, 0 mismatches [3828s]
  ...18000/35137 cells, 0 mismatches [3931s]
  ...20000/35137 cells, 0 mismatches [4167s]
  ...22000/35137 cells, 0 mismatches [4531s]
  ...24000/35137 cells, 0 mismatches [5031s]
  ...26000/35137 cells, 0 mismatches [5734s]
  ...28000/35137 cells, 0 mismatches [6684s]
  ...30000/35137 cells, 0 mismatches [7968s]
