[P_SP seed=1 p=2147483647] order 3, M_1 in T_P: g3 in im dPhi False; reducible image = 23
[P_SP seed=1 p=2147483647] order 3, M_1 in T_SP: g3 in im dPhi False; reducible image = 26
[P_coker seed=1 p=2147483647] order 3, M_1 in T_P: g3 in im dPhi False; reducible image = 24
[P_coker seed=1 p=2147483647] order 3, M_1 in T_coker: g3 in im dPhi True; reducible image = 17
[P_meet seed=1 p=2147483647] order 3, M_1 in T_P: g3 in im dPhi False; reducible image = 23
[P_meet seed=1 p=2147483647] order 3, M_1 in T_SPT: g3 in im dPhi True; reducible image = 17
[SP_c32 seed=1 p=2147483647] order 3, M_1 in T_SP: g3 in im dPhi False; reducible image = 24
[SP_c32 seed=1 p=2147483647] order 3, M_1 in T_c32: g3 in im dPhi True; reducible image = 18
[SP_c21 seed=1 p=2147483647] order 3, M_1 in T_SP: g3 in im dPhi False; reducible image = 26
[SP_c21 seed=1 p=2147483647] order 3, M_1 in T_c21: g3 in im dPhi False; reducible image = 28
[SP_coker seed=1 p=2147483647] order 3, M_1 in T_SP: g3 in im dPhi False; reducible image = 26
[SP_coker seed=1 p=2147483647] order 3, M_1 in T_coker: g3 in im dPhi False; reducible image = 28
[c21_c32 seed=1 p=2147483647] order 3, M_1 in T_c21: g3 in im dPhi False; reducible image = 27
[c21_c32 seed=1 p=2147483647] order 3, M_1 in T_c32: g3 in im dPhi False; reducible image = 27
[ker_coker seed=1 p=2147483647] order 3, M_1 in T_ker: g3 in im dPhi False; reducible image = 29
[ker_coker seed=1 p=2147483647] order 3, M_1 in T_coker: g3 in im dPhi False; reducible image = 29
[P_c32 seed=1 p=2147483647] order 3, M_1 in T_P: g3 in im dPhi False; reducible image = 23
[P_c32 seed=1 p=2147483647] order 3, M_1 in T_SP: g3 in im dPhi False; reducible image = 23
[P_c32 seed=1 p=2147483647] order 3, M_1 in T_c32: g3 in im dPhi False; reducible image = 27
