{'delta': 12, 'k': 6, 'p': 2147483647, 'W': 3, 'dp': 0, 'mixed': 0, 'agree': True, 'secs_dp': 0.244, 'secs_mixed': 93.9}
{'delta': 12, 'k': 6, 'p': 2147483629, 'W': 3, 'dp': 0, 'mixed': 0, 'agree': True, 'secs_dp': 0.229, 'secs_mixed': 96.0}
{'delta': 12, 'k': 7, 'p': 2147483647, 'W': 3, 'dp': 419390667, 'mixed': 419390667, 'agree': True, 'secs_dp': 0.285, 'secs_mixed': 96.6}
{'delta': 12, 'k': 7, 'p': 2147483629, 'W': 3, 'dp': 199499763, 'mixed': 199499763, 'agree': True, 'secs_dp': 0.354, 'secs_mixed': 94.2}
{'delta': 12, 'k': 8, 'p': 2147483647, 'W': 3, 'dp': 183565915, 'mixed': 183565915, 'agree': True, 'secs_dp': 1.102, 'secs_mixed': 75.0}
{'delta': 12, 'k': 8, 'p': 2147483629, 'W': 3, 'dp': 2087933294, 'mixed': 2087933294, 'agree': True, 'secs_dp': 0.265, 'secs_mixed': 48.4}
{'delta': 12, 'k': 9, 'p': 2147483647, 'W': 2, 'dp': 0, 'mixed': 0, 'agree': True, 'secs_dp': 0.137, 'secs_mixed': 47.8}
{'delta': 12, 'k': 9, 'p': 2147483629, 'W': 2, 'dp': 0, 'mixed': 0, 'agree': True, 'secs_dp': 0.13, 'secs_mixed': 50.2}
{'delta': 24, 'k': 5, 'p': 2147483647, 'W': 2, 'dp': 0, 'mixed': 0, 'agree': True, 'secs_dp': 0.232, 'secs_mixed': 71.1}
{'delta': 24, 'k': 5, 'p': 2147483629, 'W': 2, 'dp': 0, 'mixed': 0, 'agree': True, 'secs_dp': 0.223, 'secs_mixed': 71.3}
{'delta': 24, 'k': 6, 'p': 2147483647, 'W': 3, 'dp': 0, 'mixed': 0, 'agree': True, 'secs_dp': 0.204, 'secs_mixed': 72.3}
{'delta': 24, 'k': 6, 'p': 2147483629, 'W': 3, 'dp': 0, 'mixed': 0, 'agree': True, 'secs_dp': 0.27, 'secs_mixed': 71.4}
{'delta': 24, 'k': 9, 'p': 2147483647, 'W': 2, 'dp': 1407136074, 'mixed': 1407136074, 'agree': True, 'secs_dp': 0.204, 'secs_mixed': 71.0}
{'delta': 24, 'k': 9, 'p': 2147483629, 'W': 2, 'dp': 1296122895, 'mixed': 1296122895, 'agree': True, 'secs_dp': 0.229, 'secs_mixed': 70.6}
ALL AGREE: True
