delta= 1:    5 shapes,    1 nonzero, sum a=      1, sum aB=         1, max B=    1, max rows=     0, max C=     0, checked 5, mismatches 0  [0.0s]
delta= 2:   22 shapes,    3 nonzero, sum a=      3, sum aB=         3, max B=    1, max rows=     1, max C=     1, checked 22, mismatches 0  [0.0s]
delta= 3:   63 shapes,    8 nonzero, sum a=      8, sum aB=        14, max B=    3, max rows=     2, max C=     5, checked 63, mismatches 0  [0.6s]
delta= 4:  127 shapes,   20 nonzero, sum a=     24, sum aB=        78, max B=    6, max rows=     8, max C=    15, checked 127, mismatches 0  [2.7s]
delta= 5:  199 shapes,   42 nonzero, sum a=     63, sum aB=       428, max B=   14, max rows=    22, max C=    46, checked 199, mismatches 0  [14.4s]
delta= 6:  271 shapes,   72 nonzero, sum a=    154, sum aB=      2055, max B=   26, max rows=    59, max C=   119, checked 271, mismatches 0  [47.6s]
delta= 7:  343 shapes,  113 nonzero, sum a=    337, sum aB=      8524, max B=   51, max rows=   127, max C=   258, checked 343, mismatches 0  [119.5s]
delta= 1:    5 shapes,    1 nonzero, sum a=      1, sum aB=         1, max B=    1, max rows=     0, max C=     0, checked 5, mismatches 0  [0.0s]
delta= 2:   22 shapes,    3 nonzero, sum a=      3, sum aB=         3, max B=    1, max rows=     1, max C=     1, checked 22, mismatches 0  [0.0s]
delta= 3:   63 shapes,    8 nonzero, sum a=      8, sum aB=        14, max B=    3, max rows=     2, max C=     5, checked 63, mismatches 0  [0.2s]
delta= 4:  127 shapes,   20 nonzero, sum a=     24, sum aB=        78, max B=    6, max rows=     8, max C=    15, checked 127, mismatches 0  [2.4s]
delta= 5:  199 shapes,   42 nonzero, sum a=     63, sum aB=       428, max B=   14, max rows=    22, max C=    46, checked 199, mismatches 0  [14.5s]
delta= 6:  271 shapes,   72 nonzero, sum a=    154, sum aB=      2055, max B=   26, max rows=    59, max C=   119, checked 271, mismatches 0  [46.6s]
delta= 7:  343 shapes,  113 nonzero, sum a=    337, sum aB=      8524, max B=   51, max rows=   127, max C=   258, checked 343, mismatches 0  [114.8s]
delta= 8:  415 shapes,  162 nonzero, sum a=    690, sum aB=     30638, max B=   89, max rows=   275, max C=   563, checked 415, mismatches 0  [210.8s]
delta= 1:    5 shapes,    1 nonzero, sum a=      1, sum aB=         1, max B=    1, max rows=     0, max C=     0, checked 5, mismatches 0  [0.0s]
delta= 2:   22 shapes,    3 nonzero, sum a=      3, sum aB=         3, max B=    1, max rows=     1, max C=     1, checked 22, mismatches 0  [0.0s]
delta= 3:   63 shapes,    8 nonzero, sum a=      8, sum aB=        14, max B=    3, max rows=     2, max C=     5, checked 63, mismatches 0  [0.2s]
delta= 4:  127 shapes,   20 nonzero, sum a=     24, sum aB=        78, max B=    6, max rows=     8, max C=    15, checked 127, mismatches 0  [2.4s]
delta= 5:  199 shapes,   42 nonzero, sum a=     63, sum aB=       428, max B=   14, max rows=    22, max C=    46, checked 199, mismatches 0  [13.9s]
delta= 6:  271 shapes,   72 nonzero, sum a=    154, sum aB=      2055, max B=   26, max rows=    59, max C=   119, checked 271, mismatches 0  [56.1s]
delta= 7:  343 shapes,  113 nonzero, sum a=    337, sum aB=      8524, max B=   51, max rows=   127, max C=   258, checked 343, mismatches 0  [184.7s]
