rung 13: 39 source rows, banked a_13 = 39, family pad, 250 fresh points, seed 20260913, bound 11
  after    1 points: rank 1/39 at P1, 1/39 at P2   [16s total, 16.0s this point]
  after    2 points: rank 2/39 at P1, 2/39 at P2   [32s total, 16.1s this point]
  after    3 points: rank 3/39 at P1, 3/39 at P2   [48s total, 15.7s this point]
  after    4 points: rank 4/39 at P1, 4/39 at P2   [64s total, 16.1s this point]
  after    5 points: rank 5/39 at P1, 5/39 at P2   [80s total, 15.9s this point]
  after    6 points: rank 6/39 at P1, 6/39 at P2   [95s total, 15.7s this point]
  after    7 points: rank 7/39 at P1, 7/39 at P2   [111s total, 15.7s this point]
  after    8 points: rank 8/39 at P1, 8/39 at P2   [127s total, 15.9s this point]
  after    9 points: rank 9/39 at P1, 9/39 at P2   [143s total, 16.0s this point]
  after   10 points: rank 10/39 at P1, 10/39 at P2   [159s total, 15.8s this point]
  after   11 points: rank 11/39 at P1, 11/39 at P2   [175s total, 16.6s this point]
  after   12 points: rank 12/39 at P1, 12/39 at P2   [192s total, 16.4s this point]
  after   13 points: rank 13/39 at P1, 13/39 at P2   [208s total, 16.4s this point]
  after   14 points: rank 14/39 at P1, 14/39 at P2   [225s total, 16.3s this point]
  after   15 points: rank 15/39 at P1, 15/39 at P2   [241s total, 16.0s this point]
  after   16 points: rank 16/39 at P1, 16/39 at P2   [257s total, 16.1s this point]
  after   17 points: rank 17/39 at P1, 17/39 at P2   [273s total, 16.0s this point]
  after   18 points: rank 18/39 at P1, 18/39 at P2   [292s total, 18.9s this point]
  point 18: msym_u = 0, skipped
  after   20 points: rank 19/39 at P1, 19/39 at P2   [316s total, 24.0s this point]
  point 20: msym_u = 0, skipped
  after   22 points: rank 20/39 at P1, 20/39 at P2   [340s total, 24.6s this point]
  after   23 points: rank 21/39 at P1, 21/39 at P2   [365s total, 25.0s this point]
  after   24 points: rank 22/39 at P1, 22/39 at P2   [390s total, 24.6s this point]
  after   25 points: rank 23/39 at P1, 23/39 at P2   [411s total, 20.9s this point]
  after   26 points: rank 24/39 at P1, 24/39 at P2   [435s total, 24.2s this point]
  after   27 points: rank 25/39 at P1, 25/39 at P2   [459s total, 24.1s this point]
  after   28 points: rank 26/39 at P1, 26/39 at P2   [483s total, 24.1s this point]
  after   29 points: rank 27/39 at P1, 27/39 at P2   [507s total, 24.4s this point]
  after   30 points: rank 28/39 at P1, 28/39 at P2   [532s total, 24.2s this point]
  after   31 points: rank 29/39 at P1, 29/39 at P2   [556s total, 24.8s this point]
  after   32 points: rank 30/39 at P1, 30/39 at P2   [582s total, 25.9s this point]
  after   33 points: rank 31/39 at P1, 31/39 at P2   [608s total, 25.2s this point]
  after   34 points: rank 32/39 at P1, 32/39 at P2   [632s total, 24.8s this point]
  after   35 points: rank 33/39 at P1, 33/39 at P2   [657s total, 24.6s this point]
  after   36 points: rank 34/39 at P1, 34/39 at P2   [681s total, 24.4s this point]
  after   37 points: rank 35/39 at P1, 35/39 at P2   [706s total, 24.3s this point]
  after   38 points: rank 36/39 at P1, 36/39 at P2   [725s total, 19.3s this point]
  after   39 points: rank 36/39 at P1, 36/39 at P2   [741s total, 16.3s this point]
  after   40 points: rank 36/39 at P1, 36/39 at P2   [758s total, 16.7s this point]
  after   41 points: rank 36/39 at P1, 36/39 at P2   [775s total, 16.9s this point]
  after   42 points: rank 36/39 at P1, 36/39 at P2   [791s total, 16.7s this point]
  after   43 points: rank 36/39 at P1, 36/39 at P2   [809s total, 17.5s this point]
  after   44 points: rank 36/39 at P1, 36/39 at P2   [825s total, 16.4s this point]
  after   45 points: rank 36/39 at P1, 36/39 at P2   [841s total, 15.9s this point]
  after   46 points: rank 36/39 at P1, 36/39 at P2   [858s total, 16.8s this point]
  after   47 points: rank 36/39 at P1, 36/39 at P2   [874s total, 16.1s this point]
  after   48 points: rank 36/39 at P1, 36/39 at P2   [891s total, 16.6s this point]
  after   49 points: rank 36/39 at P1, 36/39 at P2   [909s total, 17.8s this point]
  after   50 points: rank 36/39 at P1, 36/39 at P2   [926s total, 17.0s this point]
  after   51 points: rank 36/39 at P1, 36/39 at P2   [942s total, 16.3s this point]
  after   52 points: rank 36/39 at P1, 36/39 at P2   [959s total, 16.9s this point]
  after   53 points: rank 36/39 at P1, 36/39 at P2   [976s total, 16.9s this point]
  after   54 points: rank 36/39 at P1, 36/39 at P2   [993s total, 16.8s this point]
  after   55 points: rank 36/39 at P1, 36/39 at P2   [1009s total, 16.3s this point]
  after   56 points: rank 36/39 at P1, 36/39 at P2   [1025s total, 16.3s this point]
  after   57 points: rank 36/39 at P1, 36/39 at P2   [1042s total, 16.4s this point]
  after   58 points: rank 36/39 at P1, 36/39 at P2   [1059s total, 16.9s this point]
  after   59 points: rank 36/39 at P1, 36/39 at P2   [1074s total, 15.7s this point]
  after   60 points: rank 36/39 at P1, 36/39 at P2   [1090s total, 15.8s this point]
  after   61 points: rank 36/39 at P1, 36/39 at P2   [1106s total, 15.8s this point]
  after   62 points: rank 36/39 at P1, 36/39 at P2   [1122s total, 15.9s this point]
  after   63 points: rank 36/39 at P1, 36/39 at P2   [1138s total, 16.3s this point]
  after   64 points: rank 36/39 at P1, 36/39 at P2   [1155s total, 16.4s this point]
