delta,lam,ell,a,m_det,class,margin
10,35|1|1|1|1|1,6,0,-1,a0,
10,34|2|1|1|1|1,6,0,-1,a0,
10,33|3|1|1|1|1,6,0,-1,a0,
10,33|2|2|1|1|1,6,0,-1,a0,
10,32|4|1|1|1|1,6,0,-1,a0,
10,32|3|2|1|1|1,6,0,-1,a0,
10,32|2|2|2|1|1,6,0,-1,a0,
10,31|5|1|1|1|1,6,0,-1,a0,
10,31|4|2|1|1|1,6,0,-1,a0,
10,31|3|3|1|1|1,6,0,-1,a0,
10,31|3|2|2|1|1,6,0,-1,a0,
10,31|2|2|2|2|1,6,0,-1,a0,
10,30|6|1|1|1|1,6,0,-1,a0,
10,30|5|2|1|1|1,6,0,-1,a0,
10,30|4|3|1|1|1,6,0,-1,a0,
10,30|4|2|2|1|1,6,0,-1,a0,
10,30|3|3|2|1|1,6,0,-1,a0,
10,30|3|2|2|2|1,6,0,-1,a0,
10,30|2|2|2|2|2,6,1,13,silent,12
10,29|7|1|1|1|1,6,0,-1,a0,
10,29|6|2|1|1|1,6,0,-1,a0,
10,29|5|3|1|1|1,6,0,-1,a0,
10,29|5|2|2|1|1,6,0,-1,a0,
10,29|4|4|1|1|1,6,0,-1,a0,
10,29|4|3|2|1|1,6,0,-1,a0,
10,29|4|2|2|2|1,6,1,78,silent,77
10,29|3|3|3|1|1,6,0,-1,a0,
10,29|3|3|2|2|1,6,0,-1,a0,
10,29|3|2|2|2|2,6,1,30,silent,29
10,28|8|1|1|1|1,6,0,-1,a0,
10,28|7|2|1|1|1,6,0,-1,a0,
10,28|6|3|1|1|1,6,0,-1,a0,
10,28|6|2|2|1|1,6,0,-1,a0,
10,28|5|4|1|1|1,6,0,-1,a0,
10,28|5|3|2|1|1,6,1,375,silent,374
10,28|5|2|2|2|1,6,2,169,silent,167
10,28|4|4|2|1|1,6,0,-1,a0,
10,28|4|3|3|1|1,6,0,-1,a0,
10,28|4|3|2|2|1,6,1,260,silent,259
10,28|4|2|2|2|2,6,3,105,silent,102
10,28|3|3|3|2|1,6,0,-1,a0,
10,28|3|3|2|2|2,6,0,-1,a0,
10,27|9|1|1|1|1,6,0,-1,a0,
10,27|8|2|1|1|1,6,0,-1,a0,
10,27|7|3|1|1|1,6,0,-1,a0,
10,27|7|2|2|1|1,6,1,257,silent,256
10,27|6|4|1|1|1,6,0,-1,a0,
10,27|6|3|2|1|1,6,2,726,silent,724
10,27|6|2|2|2|1,6,4,322,silent,318
10,27|5|5|1|1|1,6,1,199,silent,198
10,27|5|4|2|1|1,6,2,701,silent,699
10,27|5|3|3|1|1,6,1,578,silent,577
10,27|5|3|2|2|1,6,4,692,silent,688
10,27|5|2|2|2|2,6,4,197,silent,193
10,27|4|4|3|1|1,6,0,-1,a0,
10,27|4|4|2|2|1,6,3,426,silent,423
10,27|4|3|3|2|1,6,0,-1,a0,
10,27|4|3|2|2|2,6,2,270,silent,268
10,27|3|3|3|3|1,6,0,-1,a0,
10,27|3|3|3|2|2,6,0,-1,a0,
10,26|10|1|1|1|1,6,0,-1,a0,
10,26|9|2|1|1|1,6,0,-1,a0,
10,26|8|3|1|1|1,6,1,486,silent,485
10,26|8|2|2|1|1,6,1,361,silent,360
10,26|7|4|1|1|1,6,1,672,silent,671
10,26|7|3|2|1|1,6,5,1265,silent,1260
10,26|7|2|2|2|1,6,7,533,silent,526
10,26|6|5|1|1|1,6,1,550,silent,549
10,26|6|4|2|1|1,6,5,1607,silent,1602
10,26|6|3|3|1|1,6,3,1230,silent,1227
10,26|6|3|2|2|1,6,9,1466,silent,1457
10,26|6|2|2|2|2,6,9,410,silent,401
10,26|5|5|2|1|1,6,5,873,silent,868
10,26|5|4|3|1|1,6,4,1457,silent,1453
10,26|5|4|2|2|1,6,9,1535,silent,1526
10,26|5|3|3|2|1,6,2,1385,silent,1383
10,26|5|3|2|2|2,6,4,724,silent,720
10,26|4|4|4|1|1,6,0,-1,a0,
10,26|4|4|3|2|1,6,2,1019,silent,1017
10,26|4|4|2|2|2,6,6,539,silent,533
10,26|4|3|3|3|1,6,0,-1,a0,
10,26|4|3|3|2|2,6,0,-1,a0,
10,26|3|3|3|3|2,6,0,-1,a0,
10,25|11|1|1|1|1,6,0,-1,a0,
10,25|10|2|1|1|1,6,0,-1,a0,
10,25|9|3|1|1|1,6,1,672,silent,671
10,25|9|2|2|1|1,6,3,527,silent,524
10,25|8|4|1|1|1,6,2,1070,silent,1068
10,25|8|3|2|1|1,6,9,1954,silent,1945
10,25|8|2|2|2|1,6,11,812,silent,801
10,25|7|5|1|1|1,6,4,1189,silent,1185
10,25|7|4|2|1|1,6,14,3178,silent,3164
10,25|7|3|3|1|1,6,6,2214,silent,2208
10,25|7|3|2|2|1,6,18,2640,silent,2622
10,25|7|2|2|2|2,6,11,638,silent,627
10,25|6|6|1|1|1,6,0,-1,a0,
10,25|6|5|2|1|1,6,11,2684,silent,2673
10,25|6|4|3|1|1,6,10,3655,silent,3645
10,25|6|4|2|2|1,6,24,3798,silent,3774
10,25|6|3|3|2|1,6,6,3144,silent,3138
10,25|6|3|2|2|2,6,12,1649,silent,1637
10,25|5|5|3|1|1,6,9,2039,silent,2030
10,25|5|5|2|2|1,6,8,1830,silent,1822
10,25|5|4|4|1|1,6,5,1432,silent,1427
10,25|5|4|3|2|1,6,12,4201,silent,4189
10,25|5|4|2|2|2,6,11,1788,silent,1777
10,25|5|3|3|3|1,6,0,-1,a0,
10,25|5|3|3|2|2,6,1,1562,silent,1561
10,25|4|4|4|2|1,6,5,1051,silent,1046
10,25|4|4|3|3|1,6,0,-1,a0,
10,25|4|4|3|2|2,6,4,1301,silent,1297
10,25|4|3|3|3|2,6,0,-1,a0,
10,25|3|3|3|3|3,6,0,-1,a0,
10,24|12|1|1|1|1,6,0,-1,a0,
10,24|11|2|1|1|1,6,0,-1,a0,
10,24|10|3|1|1|1,6,2,854,silent,852
10,24|10|2|2|1|1,6,3,648,silent,645
