delta,lam,ell,a,m_det,class,margin
10,33|1|1|1|1|1|1|1,8,0,-1,a0,
10,32|2|1|1|1|1|1|1,8,0,-1,a0,
10,31|3|1|1|1|1|1|1,8,0,-1,a0,
10,31|2|2|1|1|1|1|1,8,0,-1,a0,
10,30|4|1|1|1|1|1|1,8,0,-1,a0,
10,30|3|2|1|1|1|1|1,8,0,-1,a0,
10,30|2|2|2|1|1|1|1,8,0,-1,a0,
10,29|5|1|1|1|1|1|1,8,0,-1,a0,
10,29|4|2|1|1|1|1|1,8,0,-1,a0,
10,29|3|3|1|1|1|1|1,8,0,-1,a0,
10,29|3|2|2|1|1|1|1,8,0,-1,a0,
10,29|2|2|2|2|1|1|1,8,0,-1,a0,
10,28|6|1|1|1|1|1|1,8,0,-1,a0,
10,28|5|2|1|1|1|1|1,8,0,-1,a0,
10,28|4|3|1|1|1|1|1,8,0,-1,a0,
10,28|4|2|2|1|1|1|1,8,0,-1,a0,
10,28|3|3|2|1|1|1|1,8,0,-1,a0,
10,28|3|2|2|2|1|1|1,8,0,-1,a0,
10,28|2|2|2|2|2|1|1,8,0,-1,a0,
10,27|7|1|1|1|1|1|1,8,0,-1,a0,
10,27|6|2|1|1|1|1|1,8,0,-1,a0,
10,27|5|3|1|1|1|1|1,8,0,-1,a0,
10,27|5|2|2|1|1|1|1,8,0,-1,a0,
10,27|4|4|1|1|1|1|1,8,0,-1,a0,
10,27|4|3|2|1|1|1|1,8,0,-1,a0,
10,27|4|2|2|2|1|1|1,8,0,-1,a0,
10,27|3|3|3|1|1|1|1,8,0,-1,a0,
10,27|3|3|2|2|1|1|1,8,0,-1,a0,
10,27|3|2|2|2|2|1|1,8,0,-1,a0,
10,27|2|2|2|2|2|2|1,8,0,-1,a0,
10,26|8|1|1|1|1|1|1,8,0,-1,a0,
10,26|7|2|1|1|1|1|1,8,0,-1,a0,
10,26|6|3|1|1|1|1|1,8,0,-1,a0,
10,26|6|2|2|1|1|1|1,8,0,-1,a0,
10,26|5|4|1|1|1|1|1,8,0,-1,a0,
10,26|5|3|2|1|1|1|1,8,0,-1,a0,
10,26|5|2|2|2|1|1|1,8,0,-1,a0,
10,26|4|4|2|1|1|1|1,8,0,-1,a0,
10,26|4|3|3|1|1|1|1,8,0,-1,a0,
10,26|4|3|2|2|1|1|1,8,0,-1,a0,
10,26|4|2|2|2|2|1|1,8,0,-1,a0,
10,26|3|3|3|2|1|1|1,8,0,-1,a0,
10,26|3|3|2|2|2|1|1,8,0,-1,a0,
10,26|3|2|2|2|2|2|1,8,0,-1,a0,
10,26|2|2|2|2|2|2|2,8,1,21,silent,20
10,25|9|1|1|1|1|1|1,8,0,-1,a0,
10,25|8|2|1|1|1|1|1,8,0,-1,a0,
10,25|7|3|1|1|1|1|1,8,0,-1,a0,
10,25|7|2|2|1|1|1|1,8,0,-1,a0,
10,25|6|4|1|1|1|1|1,8,0,-1,a0,
10,25|6|3|2|1|1|1|1,8,0,-1,a0,
10,25|6|2|2|2|1|1|1,8,0,-1,a0,
10,25|5|5|1|1|1|1|1,8,0,-1,a0,
10,25|5|4|2|1|1|1|1,8,0,-1,a0,
10,25|5|3|3|1|1|1|1,8,0,-1,a0,
10,25|5|3|2|2|1|1|1,8,0,-1,a0,
10,25|5|2|2|2|2|1|1,8,0,-1,a0,
10,25|4|4|3|1|1|1|1,8,0,-1,a0,
10,25|4|4|2|2|1|1|1,8,0,-1,a0,
10,25|4|3|3|2|1|1|1,8,0,-1,a0,
10,25|4|3|2|2|2|1|1,8,0,-1,a0,
10,25|4|2|2|2|2|2|1,8,1,282,silent,281
10,25|3|3|3|3|1|1|1,8,0,-1,a0,
10,25|3|3|3|2|2|1|1,8,0,-1,a0,
10,25|3|3|2|2|2|2|1,8,0,-1,a0,
10,25|3|2|2|2|2|2|2,8,1,63,silent,62
10,24|10|1|1|1|1|1|1,8,0,-1,a0,
10,24|9|2|1|1|1|1|1,8,0,-1,a0,
10,24|8|3|1|1|1|1|1,8,0,-1,a0,
10,24|8|2|2|1|1|1|1,8,0,-1,a0,
10,24|7|4|1|1|1|1|1,8,0,-1,a0,
10,24|7|3|2|1|1|1|1,8,0,-1,a0,
10,24|7|2|2|2|1|1|1,8,0,-1,a0,
10,24|6|5|1|1|1|1|1,8,0,-1,a0,
10,24|6|4|2|1|1|1|1,8,0,-1,a0,
10,24|6|3|3|1|1|1|1,8,0,-1,a0,
10,24|6|3|2|2|1|1|1,8,0,-1,a0,
10,24|6|2|2|2|2|1|1,8,0,-1,a0,
10,24|5|5|2|1|1|1|1,8,0,-1,a0,
10,24|5|4|3|1|1|1|1,8,0,-1,a0,
10,24|5|4|2|2|1|1|1,8,0,-1,a0,
10,24|5|3|3|2|1|1|1,8,0,-1,a0,
10,24|5|3|2|2|2|1|1,8,1,3350,silent,3349
10,24|5|2|2|2|2|2|1,8,2,722,silent,720
10,24|4|4|4|1|1|1|1,8,0,-1,a0,
10,24|4|4|3|2|1|1|1,8,0,-1,a0,
10,24|4|4|2|2|2|1|1,8,0,-1,a0,
10,24|4|3|3|3|1|1|1,8,0,-1,a0,
10,24|4|3|3|2|2|1|1,8,0,-1,a0,
10,24|4|3|2|2|2|2|1,8,1,1229,silent,1228
10,24|4|2|2|2|2|2|2,8,3,241,silent,238
10,24|3|3|3|3|2|1|1,8,0,-1,a0,
10,24|3|3|3|2|2|2|1,8,0,-1,a0,
10,24|3|3|2|2|2|2|2,8,0,-1,a0,
10,23|11|1|1|1|1|1|1,8,0,-1,a0,
10,23|10|2|1|1|1|1|1,8,0,-1,a0,
10,23|9|3|1|1|1|1|1,8,0,-1,a0,
10,23|9|2|2|1|1|1|1,8,0,-1,a0,
10,23|8|4|1|1|1|1|1,8,0,-1,a0,
10,23|8|3|2|1|1|1|1,8,0,-1,a0,
10,23|8|2|2|2|1|1|1,8,0,-1,a0,
10,23|7|5|1|1|1|1|1,8,0,-1,a0,
10,23|7|4|2|1|1|1|1,8,0,-1,a0,
10,23|7|3|3|1|1|1|1,8,0,-1,a0,
10,23|7|3|2|2|1|1|1,8,0,-1,a0,
10,23|7|2|2|2|2|1|1,8,1,2369,silent,2368
10,23|6|6|1|1|1|1|1,8,0,-1,a0,
10,23|6|5|2|1|1|1|1,8,0,-1,a0,
10,23|6|4|3|1|1|1|1,8,0,-1,a0,
10,23|6|4|2|2|1|1|1,8,0,-1,a0,
10,23|6|3|3|2|1|1|1,8,1,10795,silent,10794
10,23|6|3|2|2|2|1|1,8,2,7575,silent,7573
10,23|6|2|2|2|2|2|1,8,4,1537,silent,1533
10,23|5|5|3|1|1|1|1,8,0,-1,a0,
10,23|5|5|2|2|1|1|1,8,1,6270,silent,6269
10,23|5|4|4|1|1|1|1,8,0,-1,a0,
10,23|5|4|3|2|1|1|1,8,0,-1,a0,
10,23|5|4|2|2|2|1|1,8,2,8151,silent,8149
10,23|5|3|3|3|1|1|1,8,0,-1,a0,
10,23|5|3|3|2|2|1|1,8,1,8497,silent,8496
10,23|5|3|2|2|2|2|1,8,4,3754,silent,3750
10,23|5|2|2|2|2|2|2,8,3,542,silent,539
10,23|4|4|4|2|1|1|1,8,0,-1,a0,
10,23|4|4|3|3|1|1|1,8,0,-1,a0,
10,23|4|4|3|2|2|1|1,8,0,-1,a0,
10,23|4|4|2|2|2|2|1,8,3,2330,silent,2327
10,23|4|3|3|3|2|1|1,8,0,-1,a0,
10,23|4|3|3|2|2|2|1,8,0,-1,a0,
10,23|4|3|2|2|2|2|2,8,2,849,silent,847
10,23|3|3|3|3|3|1|1,8,0,-1,a0,
10,23|3|3|3|3|2|2|1,8,0,-1,a0,
10,23|3|3|3|2|2|2|2,8,0,-1,a0,
10,22|12|1|1|1|1|1|1,8,0,-1,a0,
10,22|11|2|1|1|1|1|1,8,0,-1,a0,
10,22|10|3|1|1|1|1|1,8,0,-1,a0,
10,22|10|2|2|1|1|1|1,8,0,-1,a0,
10,22|9|4|1|1|1|1|1,8,0,-1,a0,
10,22|9|3|2|1|1|1|1,8,0,-1,a0,
10,22|9|2|2|2|1|1|1,8,0,-1,a0,
10,22|8|5|1|1|1|1|1,8,0,-1,a0,
10,22|8|4|2|1|1|1|1,8,0,-1,a0,
10,22|8|3|3|1|1|1|1,8,0,-1,a0,
10,22|8|3|2|2|1|1|1,8,1,13981,silent,13980
10,22|8|2|2|2|2|1|1,8,1,3737,silent,3736
10,22|7|6|1|1|1|1|1,8,0,-1,a0,
10,22|7|5|2|1|1|1|1,8,0,-1,a0,
10,22|7|4|3|1|1|1|1,8,0,-1,a0,
10,22|7|4|2|2|1|1|1,8,1,25267,silent,25266
10,22|7|3|3|2|1|1|1,8,2,21236,silent,21234
10,22|7|3|2|2|2|1|1,8,6,14617,silent,14611
10,22|7|2|2|2|2|2|1,8,6,2804,silent,2798
10,22|6|6|2|1|1|1|1,8,0,-1,a0,
10,22|6|5|3|1|1|1|1,8,1,21018,silent,21017
10,22|6|5|2|2|1|1|1,8,2,21988,silent,21986
10,22|6|4|4|1|1|1|1,8,0,-1,a0,
10,22|6|4|3|2|1|1|1,8,2,39969,silent,39967
10,22|6|4|2|2|2|1|1,8,5,21549,silent,21544
10,22|6|3|3|3|1|1|1,8,1,12706,silent,12705
10,22|6|3|3|2|2|1|1,8,4,20789,silent,20785
10,22|6|3|2|2|2|2|1,8,8,8842,silent,8834
10,22|6|2|2|2|2|2|2,8,7,1212,silent,1205
10,22|5|5|4|1|1|1|1,8,0,-1,a0,
10,22|5|5|3|2|1|1|1,8,2,21737,silent,21735
10,22|5|5|2|2|2|1|1,8,5,11318,silent,11313
10,22|5|4|4|2|1|1|1,8,0,-1,a0,
10,22|5|4|3|3|1|1|1,8,0,-1,a0,
10,22|5|4|3|2|2|1|1,8,4,28423,silent,28419
10,22|5|4|2|2|2|2|1,8,8,9746,silent,9738
10,22|5|3|3|3|2|1|1,8,0,-1,a0,
10,22|5|3|3|2|2|2|1,8,2,10169,silent,10167
10,22|5|3|2|2|2|2|2,8,3,2584,silent,2581
10,22|4|4|4|3|1|1|1,8,0,-1,a0,
10,22|4|4|4|2|2|1|1,8,0,-1,a0,
10,22|4|4|3|3|2|1|1,8,0,-1,a0,
10,22|4|4|3|2|2|2|1,8,2,7798,silent,7796
10,22|4|4|2|2|2|2|2,8,5,1805,silent,1800
10,22|4|3|3|3|3|1|1,8,0,-1,a0,
10,22|4|3|3|3|2|2|1,8,0,-1,a0,
10,22|4|3|3|2|2|2|2,8,0,-1,a0,
