delta,lam,ell,a,m_det,class,margin
12,39|1|1|1|1|1|1|1|1|1,10,0,-1,a0,
12,38|2|1|1|1|1|1|1|1|1,10,0,-1,a0,
12,37|3|1|1|1|1|1|1|1|1,10,0,-1,a0,
12,37|2|2|1|1|1|1|1|1|1,10,0,-1,a0,
12,36|4|1|1|1|1|1|1|1|1,10,0,-1,a0,
12,36|3|2|1|1|1|1|1|1|1,10,0,-1,a0,
12,36|2|2|2|1|1|1|1|1|1,10,0,-1,a0,
12,35|5|1|1|1|1|1|1|1|1,10,0,-1,a0,
12,35|4|2|1|1|1|1|1|1|1,10,0,-1,a0,
12,35|3|3|1|1|1|1|1|1|1,10,0,-1,a0,
12,35|3|2|2|1|1|1|1|1|1,10,0,-1,a0,
12,35|2|2|2|2|1|1|1|1|1,10,0,-1,a0,
12,34|6|1|1|1|1|1|1|1|1,10,0,-1,a0,
12,34|5|2|1|1|1|1|1|1|1,10,0,-1,a0,
12,34|4|3|1|1|1|1|1|1|1,10,0,-1,a0,
12,34|4|2|2|1|1|1|1|1|1,10,0,-1,a0,
12,34|3|3|2|1|1|1|1|1|1,10,0,-1,a0,
12,34|3|2|2|2|1|1|1|1|1,10,0,-1,a0,
12,34|2|2|2|2|2|1|1|1|1,10,0,-1,a0,
12,33|7|1|1|1|1|1|1|1|1,10,0,-1,a0,
12,33|6|2|1|1|1|1|1|1|1,10,0,-1,a0,
12,33|5|3|1|1|1|1|1|1|1,10,0,-1,a0,
12,33|5|2|2|1|1|1|1|1|1,10,0,-1,a0,
12,33|4|4|1|1|1|1|1|1|1,10,0,-1,a0,
12,33|4|3|2|1|1|1|1|1|1,10,0,-1,a0,
12,33|4|2|2|2|1|1|1|1|1,10,0,-1,a0,
12,33|3|3|3|1|1|1|1|1|1,10,0,-1,a0,
12,33|3|3|2|2|1|1|1|1|1,10,0,-1,a0,
12,33|3|2|2|2|2|1|1|1|1,10,0,-1,a0,
12,33|2|2|2|2|2|2|1|1|1,10,0,-1,a0,
12,32|8|1|1|1|1|1|1|1|1,10,0,-1,a0,
12,32|7|2|1|1|1|1|1|1|1,10,0,-1,a0,
12,32|6|3|1|1|1|1|1|1|1,10,0,-1,a0,
12,32|6|2|2|1|1|1|1|1|1,10,0,-1,a0,
