delta,lam,ell,a,m_det,class,margin
12,42|1|1|1|1|1|1,7,0,-1,a0,
12,41|2|1|1|1|1|1,7,0,-1,a0,
12,40|3|1|1|1|1|1,7,0,-1,a0,
12,40|2|2|1|1|1|1,7,0,-1,a0,
12,39|4|1|1|1|1|1,7,0,-1,a0,
12,39|3|2|1|1|1|1,7,0,-1,a0,
12,39|2|2|2|1|1|1,7,0,-1,a0,
12,38|5|1|1|1|1|1,7,0,-1,a0,
12,38|4|2|1|1|1|1,7,0,-1,a0,
12,38|3|3|1|1|1|1,7,0,-1,a0,
12,38|3|2|2|1|1|1,7,0,-1,a0,
12,38|2|2|2|2|1|1,7,0,-1,a0,
12,37|6|1|1|1|1|1,7,0,-1,a0,
12,37|5|2|1|1|1|1,7,0,-1,a0,
12,37|4|3|1|1|1|1,7,0,-1,a0,
12,37|4|2|2|1|1|1,7,0,-1,a0,
12,37|3|3|2|1|1|1,7,0,-1,a0,
12,37|3|2|2|2|1|1,7,0,-1,a0,
12,37|2|2|2|2|2|1,7,0,-1,a0,
12,36|7|1|1|1|1|1,7,0,-1,a0,
12,36|6|2|1|1|1|1,7,0,-1,a0,
12,36|5|3|1|1|1|1,7,0,-1,a0,
12,36|5|2|2|1|1|1,7,0,-1,a0,
12,36|4|4|1|1|1|1,7,0,-1,a0,
12,36|4|3|2|1|1|1,7,0,-1,a0,
12,36|4|2|2|2|1|1,7,0,-1,a0,
12,36|3|3|3|1|1|1,7,0,-1,a0,
12,36|3|3|2|2|1|1,7,0,-1,a0,
12,36|3|2|2|2|2|1,7,0,-1,a0,
12,36|2|2|2|2|2|2,7,1,18,silent,17
12,35|8|1|1|1|1|1,7,0,-1,a0,
12,35|7|2|1|1|1|1,7,0,-1,a0,
12,35|6|3|1|1|1|1,7,0,-1,a0,
12,35|6|2|2|1|1|1,7,0,-1,a0,
12,35|5|4|1|1|1|1,7,0,-1,a0,
12,35|5|3|2|1|1|1,7,0,-1,a0,
12,35|5|2|2|2|1|1,7,0,-1,a0,
12,35|4|4|2|1|1|1,7,0,-1,a0,
12,35|4|3|3|1|1|1,7,0,-1,a0,
12,35|4|3|2|2|1|1,7,0,-1,a0,
12,35|4|2|2|2|2|1,7,1,179,silent,178
12,35|3|3|3|2|1|1,7,0,-1,a0,
12,35|3|3|2|2|2|1,7,0,-1,a0,
12,35|3|2|2|2|2|2,7,1,50,silent,49
12,34|9|1|1|1|1|1,7,0,-1,a0,
12,34|8|2|1|1|1|1,7,0,-1,a0,
12,34|7|3|1|1|1|1,7,0,-1,a0,
12,34|7|2|2|1|1|1,7,0,-1,a0,
12,34|6|4|1|1|1|1,7,0,-1,a0,
12,34|6|3|2|1|1|1,7,0,-1,a0,
12,34|6|2|2|2|1|1,7,0,-1,a0,
12,34|5|5|1|1|1|1,7,0,-1,a0,
12,34|5|4|2|1|1|1,7,0,-1,a0,
12,34|5|3|3|1|1|1,7,0,-1,a0,
12,34|5|3|2|2|1|1,7,1,1374,silent,1373
12,34|5|2|2|2|2|1,7,2,427,silent,425
12,34|4|4|3|1|1|1,7,0,-1,a0,
12,34|4|4|2|2|1|1,7,0,-1,a0,
12,34|4|3|3|2|1|1,7,0,-1,a0,
12,34|4|3|2|2|2|1,7,1,681,silent,680
12,34|4|2|2|2|2|2,7,3,179,silent,176
12,34|3|3|3|3|1|1,7,0,-1,a0,
12,34|3|3|3|2|2|1,7,0,-1,a0,
12,34|3|3|2|2|2|2,7,0,-1,a0,
12,33|10|1|1|1|1|1,7,0,-1,a0,
12,33|9|2|1|1|1|1,7,0,-1,a0,
12,33|8|3|1|1|1|1,7,0,-1,a0,
12,33|8|2|2|1|1|1,7,0,-1,a0,
12,33|7|4|1|1|1|1,7,0,-1,a0,
12,33|7|3|2|1|1|1,7,0,-1,a0,
12,33|7|2|2|2|1|1,7,1,966,silent,965
12,33|6|5|1|1|1|1,7,0,-1,a0,
12,33|6|4|2|1|1|1,7,0,-1,a0,
12,33|6|3|3|1|1|1,7,1,2305,silent,2304
12,33|6|3|2|2|1|1,7,2,2942,silent,2940
12,33|6|2|2|2|2|1,7,4,861,silent,857
12,33|5|5|2|1|1|1,7,1,1592,silent,1591
12,33|5|4|3|1|1|1,7,0,-1,a0,
12,33|5|4|2|2|1|1,7,2,3079,silent,3077
12,33|5|3|3|2|1|1,7,1,3007,silent,3006
12,33|5|3|2|2|2|1,7,4,1958,silent,1954
12,33|5|2|2|2|2|2,7,4,385,silent,381
12,33|4|4|4|1|1|1,7,0,-1,a0,
12,33|4|4|3|2|1|1,7,0,-1,a0,
12,33|4|4|2|2|2|1,7,3,1222,silent,1219
12,33|4|3|3|3|1|1,7,0,-1,a0,
12,33|4|3|3|2|2|1,7,0,-1,a0,
12,33|4|3|2|2|2|2,7,2,568,silent,566
12,33|3|3|3|3|2|1,7,0,-1,a0,
12,33|3|3|3|2|2|2,7,0,-1,a0,
12,32|11|1|1|1|1|1,7,0,-1,a0,
12,32|10|2|1|1|1|1,7,0,-1,a0,
12,32|9|3|1|1|1|1,7,0,-1,a0,
12,32|9|2|2|1|1|1,7,0,-1,a0,
12,32|8|4|1|1|1|1,7,0,-1,a0,
12,32|8|3|2|1|1|1,7,1,3709,silent,3708
12,32|8|2|2|2|1|1,7,1,1481,silent,1480
12,32|7|5|1|1|1|1,7,0,-1,a0,
12,32|7|4|2|1|1|1,7,1,6132,silent,6131
12,32|7|3|3|1|1|1,7,1,4288,silent,4287
12,32|7|3|2|2|1|1,7,6,5462,silent,5456
12,32|7|2|2|2|2|1,7,7,1509,silent,1502
12,32|6|6|1|1|1|1,7,0,-1,a0,
12,32|6|5|2|1|1|1,7,2,5187,silent,5185
12,32|6|4|3|1|1|1,7,2,7310,silent,7308
12,32|6|4|2|2|1|1,7,5,7724,silent,7719
