delta,lam,ell,a,m_det,det_units_lb
10,32|2|2|2|2,5,1,8,-7
10,31|3|2|2|2,5,1,15,-14
10,31|4|2|2|1,5,1,28,-27
10,29|7|2|1|1,5,1,38,-37
10,30|4|2|2|2,5,3,47,-44
10,30|5|3|1|1,5,1,45,-44
10,28|8|2|1|1,5,1,47,-46
10,19|17|2|1|1,5,3,52,-49
10,30|5|2|2|1,5,2,53,-51
10,20|16|2|1|1,5,3,66,-63
10,30|4|3|2|1,5,1,66,-65
10,27|9|2|1|1,5,2,68,-66
10,29|5|4|1|1,5,2,69,-67
10,29|5|2|2|2,5,4,77,-73
10,29|6|3|1|1,5,1,75,-74
10,28|5|5|1|1,5,3,79,-76
10,26|10|2|1|1,5,2,78,-76
10,17|17|2|2|2,5,2,86,-84
10,29|6|2|2|1,5,4,91,-87
10,21|15|2|1|1,5,5,95,-90
10,29|4|3|2|2,5,2,93,-91
10,22|14|2|1|1,5,4,96,-92
10,29|4|4|2|1,5,3,95,-92
10,25|11|2|1|1,5,4,99,-95
10,24|12|2|1|1,5,4,100,-96
10,23|13|2|1|1,5,5,110,-105
10,28|7|3|1|1,5,4,123,-119
10,18|17|3|1|1,5,6,131,-125
10,18|17|2|2|1,5,8,134,-126
10,28|7|2|2|1,5,6,137,-131
10,27|4|4|4|1,5,5,139,-134
10,28|6|4|1|1,5,3,137,-134
10,28|4|4|3|1,5,2,140,-138
10,28|6|2|2|2,5,9,154,-145
10,29|5|3|2|1,5,4,155,-151
10,26|6|6|1|1,5,2,170,-168
10,28|4|4|2|2,5,6,175,-169
10,27|8|3|1|1,5,5,175,-170
10,28|5|3|3|1,5,2,188,-186
10,27|8|2|2|1,5,10,198,-188
10,17|17|4|1|1,5,11,212,-201
10,27|7|2|2|2,5,11,215,-204
10,27|6|5|1|1,5,5,209,-204
10,28|5|3|2|2,5,4,220,-216
10,19|16|3|1|1,5,11,243,-232
10,26|9|3|1|1,5,8,243,-235
10,19|16|2|2|1,5,15,252,-237
