    ...12 weights scanned, 1 kept
    ...16 weights scanned, 2 kept
    ...18 weights scanned, 3 kept
    ...22 weights scanned, 5 kept
    ...24 weights scanned, 6 kept
    ...30 weights scanned, 9 kept
    ...32 weights scanned, 11 kept
    ...34 weights scanned, 13 kept
    ...40 weights scanned, 16 kept
    ...42 weights scanned, 18 kept
    ...44 weights scanned, 20 kept
    ...46 weights scanned, 22 kept
    ...48 weights scanned, 24 kept
    ...50 weights scanned, 26 kept
    ...56 weights scanned, 29 kept
    ...58 weights scanned, 31 kept
    ...60 weights scanned, 33 kept
    ...62 weights scanned, 35 kept
    ...64 weights scanned, 37 kept
    ...66 weights scanned, 39 kept
    ...68 weights scanned, 41 kept
    ...70 weights scanned, 43 kept
    ...74 weights scanned, 45 kept
    ...76 weights scanned, 47 kept
    ...78 weights scanned, 49 kept
    ...80 weights scanned, 51 kept
    ...82 weights scanned, 53 kept
    ...84 weights scanned, 55 kept
    ...86 weights scanned, 57 kept
    ...88 weights scanned, 59 kept
    ...90 weights scanned, 61 kept
    ...96 weights scanned, 64 kept
    ...98 weights scanned, 66 kept
    ...100 weights scanned, 68 kept
    ...102 weights scanned, 70 kept
    ...104 weights scanned, 72 kept
    ...106 weights scanned, 74 kept
    ...108 weights scanned, 76 kept
    ...110 weights scanned, 78 kept
    ...112 weights scanned, 80 kept
    ...114 weights scanned, 82 kept
    ...118 weights scanned, 85 kept
    ...120 weights scanned, 87 kept
    ...124 weights scanned, 90 kept
    ...126 weights scanned, 92 kept
    ...128 weights scanned, 94 kept
    ...130 weights scanned, 96 kept
    ...132 weights scanned, 98 kept
    ...134 weights scanned, 100 kept
    ...136 weights scanned, 102 kept
    ...138 weights scanned, 104 kept
    ...140 weights scanned, 106 kept
    ...142 weights scanned, 108 kept
    ...144 weights scanned, 110 kept
    ...146 weights scanned, 112 kept
    ...148 weights scanned, 114 kept
    ...150 weights scanned, 116 kept
    ...152 weights scanned, 118 kept
    ...154 weights scanned, 120 kept
    ...158 weights scanned, 123 kept
    ...160 weights scanned, 125 kept
    ...162 weights scanned, 127 kept
    ...164 weights scanned, 129 kept
    ...166 weights scanned, 131 kept
    ...168 weights scanned, 133 kept
    ...170 weights scanned, 135 kept
    ...172 weights scanned, 137 kept
    ...174 weights scanned, 139 kept
    ...176 weights scanned, 141 kept
    ...178 weights scanned, 143 kept
    ...180 weights scanned, 145 kept
    ...182 weights scanned, 147 kept
    ...184 weights scanned, 149 kept
    ...186 weights scanned, 151 kept
    ...188 weights scanned, 153 kept
    ...190 weights scanned, 155 kept
    ...192 weights scanned, 157 kept
    ...194 weights scanned, 159 kept
    ...196 weights scanned, 160 kept
    ...198 weights scanned, 162 kept
    ...200 weights scanned, 164 kept
    ...202 weights scanned, 166 kept
    ...204 weights scanned, 168 kept
    ...206 weights scanned, 170 kept
    ...208 weights scanned, 172 kept
    ...210 weights scanned, 174 kept
    ...212 weights scanned, 176 kept
    ...214 weights scanned, 178 kept
    ...216 weights scanned, 180 kept
    ...218 weights scanned, 182 kept
    ...220 weights scanned, 184 kept
    ...222 weights scanned, 186 kept
    ...224 weights scanned, 188 kept
    ...226 weights scanned, 190 kept
    ...228 weights scanned, 192 kept
    ...230 weights scanned, 194 kept
    ...232 weights scanned, 196 kept
    ...234 weights scanned, 198 kept
    ...236 weights scanned, 200 kept
    ...238 weights scanned, 202 kept
    ...240 weights scanned, 204 kept
    ...244 weights scanned, 207 kept
    ...246 weights scanned, 209 kept
    ...248 weights scanned, 211 kept
    ...250 weights scanned, 213 kept
    ...252 weights scanned, 215 kept
    ...254 weights scanned, 217 kept
    ...256 weights scanned, 219 kept
    ...258 weights scanned, 221 kept
    ...260 weights scanned, 223 kept
    ...262 weights scanned, 225 kept
    ...264 weights scanned, 227 kept
    ...266 weights scanned, 229 kept
    ...268 weights scanned, 231 kept
    ...270 weights scanned, 233 kept
    ...272 weights scanned, 235 kept
    ...274 weights scanned, 237 kept
    ...276 weights scanned, 239 kept
    ...278 weights scanned, 241 kept
    ...280 weights scanned, 243 kept
    ...282 weights scanned, 245 kept
    ...284 weights scanned, 247 kept
    ...286 weights scanned, 249 kept
    ...288 weights scanned, 251 kept
    ...290 weights scanned, 253 kept
    ...292 weights scanned, 255 kept
    ...294 weights scanned, 257 kept
    ...298 weights scanned, 260 kept
    ...300 weights scanned, 262 kept
    ...302 weights scanned, 264 kept
    ...304 weights scanned, 266 kept
    ...306 weights scanned, 268 kept
    ...308 weights scanned, 270 kept
    ...310 weights scanned, 272 kept
    ...312 weights scanned, 274 kept
    ...314 weights scanned, 276 kept
    ...316 weights scanned, 278 kept
    ...318 weights scanned, 280 kept
    ...320 weights scanned, 282 kept
    ...322 weights scanned, 284 kept
    ...324 weights scanned, 286 kept
    ...326 weights scanned, 288 kept
    ...328 weights scanned, 290 kept
    ...330 weights scanned, 292 kept
    ...332 weights scanned, 294 kept
    ...334 weights scanned, 296 kept
    ...336 weights scanned, 298 kept
    ...338 weights scanned, 300 kept
    ...340 weights scanned, 302 kept
    ...342 weights scanned, 304 kept
    ...344 weights scanned, 306 kept
    ...346 weights scanned, 308 kept
    ...348 weights scanned, 310 kept
    ...350 weights scanned, 312 kept
    ...352 weights scanned, 314 kept
    ...354 weights scanned, 316 kept
    ...356 weights scanned, 318 kept
    ...358 weights scanned, 320 kept
    ...362 weights scanned, 323 kept
    ...364 weights scanned, 325 kept
    ...366 weights scanned, 327 kept
    ...368 weights scanned, 329 kept
    ...370 weights scanned, 331 kept
    ...372 weights scanned, 333 kept
    ...374 weights scanned, 335 kept
    ...376 weights scanned, 337 kept
    ...378 weights scanned, 339 kept
    ...380 weights scanned, 341 kept
    ...382 weights scanned, 343 kept
    ...384 weights scanned, 345 kept
    ...386 weights scanned, 347 kept
    ...388 weights scanned, 349 kept
    ...390 weights scanned, 351 kept
    ...392 weights scanned, 353 kept
    ...394 weights scanned, 355 kept
    ...396 weights scanned, 357 kept
    ...398 weights scanned, 359 kept
    ...400 weights scanned, 361 kept
    ...402 weights scanned, 363 kept
    ...404 weights scanned, 365 kept
    ...406 weights scanned, 367 kept
    ...408 weights scanned, 369 kept
    ...410 weights scanned, 371 kept
    ...412 weights scanned, 373 kept
    ...414 weights scanned, 375 kept
    ...416 weights scanned, 377 kept
    ...418 weights scanned, 379 kept
    ...420 weights scanned, 381 kept
    ...422 weights scanned, 383 kept
    ...424 weights scanned, 385 kept
    ...426 weights scanned, 387 kept
    ...428 weights scanned, 389 kept
    ...430 weights scanned, 391 kept
    ...434 weights scanned, 394 kept
    ...436 weights scanned, 396 kept
    ...438 weights scanned, 398 kept
    ...440 weights scanned, 400 kept
    ...442 weights scanned, 402 kept
    ...444 weights scanned, 404 kept
    ...446 weights scanned, 406 kept
    ...448 weights scanned, 408 kept
    ...450 weights scanned, 410 kept
    ...452 weights scanned, 412 kept
    ...454 weights scanned, 414 kept
    ...456 weights scanned, 416 kept
    ...458 weights scanned, 418 kept
    ...460 weights scanned, 420 kept
    ...462 weights scanned, 422 kept
    ...464 weights scanned, 424 kept
    ...466 weights scanned, 426 kept
    ...468 weights scanned, 428 kept
    ...470 weights scanned, 430 kept
    ...472 weights scanned, 432 kept
    ...474 weights scanned, 434 kept
    ...476 weights scanned, 436 kept
    ...478 weights scanned, 438 kept
    ...480 weights scanned, 440 kept
    ...482 weights scanned, 442 kept
    ...484 weights scanned, 444 kept
    ...486 weights scanned, 446 kept
    ...488 weights scanned, 448 kept
    ...490 weights scanned, 450 kept
    ...492 weights scanned, 452 kept
    ...494 weights scanned, 454 kept
    ...496 weights scanned, 456 kept
    ...498 weights scanned, 458 kept
    ...500 weights scanned, 460 kept
    ...502 weights scanned, 462 kept
    ...504 weights scanned, 464 kept
    ...506 weights scanned, 466 kept
    ...508 weights scanned, 468 kept
    ...510 weights scanned, 470 kept
    ...512 weights scanned, 472 kept
    ...514 weights scanned, 474 kept
    ...518 weights scanned, 477 kept
    ...520 weights scanned, 479 kept
    ...522 weights scanned, 481 kept
    ...524 weights scanned, 483 kept
    ...526 weights scanned, 485 kept
    ...528 weights scanned, 487 kept
    ...530 weights scanned, 489 kept
    ...532 weights scanned, 491 kept
    ...534 weights scanned, 493 kept
    ...536 weights scanned, 495 kept
    ...538 weights scanned, 497 kept
    ...540 weights scanned, 499 kept
    ...542 weights scanned, 501 kept
    ...544 weights scanned, 503 kept
    ...546 weights scanned, 505 kept
    ...548 weights scanned, 507 kept
    ...550 weights scanned, 509 kept
    ...552 weights scanned, 511 kept
    ...554 weights scanned, 513 kept
    ...556 weights scanned, 515 kept
    ...558 weights scanned, 517 kept
    ...560 weights scanned, 519 kept
    ...562 weights scanned, 521 kept
    ...564 weights scanned, 523 kept
    ...566 weights scanned, 525 kept
    ...568 weights scanned, 527 kept
    ...570 weights scanned, 529 kept
    ...572 weights scanned, 531 kept
    ...574 weights scanned, 533 kept
    ...576 weights scanned, 535 kept
    ...578 weights scanned, 537 kept
    ...580 weights scanned, 539 kept
    ...582 weights scanned, 541 kept
    ...584 weights scanned, 543 kept
    ...586 weights scanned, 545 kept
    ...588 weights scanned, 547 kept
    ...590 weights scanned, 549 kept
    ...592 weights scanned, 551 kept
    ...594 weights scanned, 553 kept
    ...596 weights scanned, 555 kept
    ...598 weights scanned, 557 kept
    ...600 weights scanned, 559 kept
    ...602 weights scanned, 561 kept
    ...604 weights scanned, 563 kept
    ...606 weights scanned, 565 kept
    ...608 weights scanned, 567 kept
    ...612 weights scanned, 570 kept
    ...614 weights scanned, 572 kept
    ...616 weights scanned, 574 kept
    ...618 weights scanned, 576 kept
    ...620 weights scanned, 578 kept
    ...622 weights scanned, 580 kept
    ...624 weights scanned, 582 kept
    ...626 weights scanned, 584 kept
    ...628 weights scanned, 586 kept
    ...630 weights scanned, 588 kept
    ...632 weights scanned, 590 kept
    ...634 weights scanned, 592 kept
    ...636 weights scanned, 594 kept
    ...638 weights scanned, 596 kept
    ...640 weights scanned, 598 kept
    ...642 weights scanned, 600 kept
    ...644 weights scanned, 602 kept
    ...646 weights scanned, 604 kept
    ...648 weights scanned, 606 kept
    ...650 weights scanned, 608 kept
    ...652 weights scanned, 610 kept
    ...654 weights scanned, 612 kept
    ...656 weights scanned, 614 kept
    ...658 weights scanned, 616 kept
    ...660 weights scanned, 618 kept
    ...662 weights scanned, 620 kept
    ...664 weights scanned, 622 kept
    ...666 weights scanned, 624 kept
    ...668 weights scanned, 626 kept
    ...670 weights scanned, 628 kept
    ...672 weights scanned, 630 kept
    ...674 weights scanned, 632 kept
    ...676 weights scanned, 634 kept
    ...678 weights scanned, 636 kept
    ...680 weights scanned, 638 kept
    ...682 weights scanned, 640 kept
    ...684 weights scanned, 642 kept
    ...686 weights scanned, 644 kept
    ...688 weights scanned, 646 kept
    ...690 weights scanned, 648 kept
    ...692 weights scanned, 650 kept
    ...694 weights scanned, 652 kept
    ...696 weights scanned, 654 kept
    ...698 weights scanned, 656 kept
    ...700 weights scanned, 658 kept
    ...702 weights scanned, 660 kept
    ...704 weights scanned, 662 kept
    ...706 weights scanned, 664 kept
    ...708 weights scanned, 666 kept
    ...710 weights scanned, 668 kept
    ...712 weights scanned, 670 kept
    ...714 weights scanned, 672 kept
    ...716 weights scanned, 674 kept
    ...718 weights scanned, 676 kept
    ...720 weights scanned, 678 kept
    ...722 weights scanned, 680 kept
